Row Label,County,"Nathaniel B. Green, Jr.",Registered Voters,Times Blank Voted,Times Counted,Times Over Voted,Write-in
B-D 05-0239,KI,152,560,132,284,0,0
AUB 47-3585,KI,96,374,56,152,0,0
M-V 05-2841,KI,109,385,79,188,0,0
KEN 33-3232,KI,121,502,82,204,0,1
COV 47-0279,KI,218,832,148,369,0,3
COV 47-2843,KI,217,792,176,395,0,2
RNT 11-1012,KI,133,589,108,242,0,1
KEN 33-3629,KI,16,61,11,27,0,0
KEN 47-0835,KI,148,645,127,276,0,1
RNT 11-0964,KI,136,557,124,260,0,0
RNT 11-0962,KI,84,309,41,127,0,2
TIMBER,KI,193,664,163,358,0,2
B-D 05-0240,KI,107,419,96,207,0,4
KEN 47-3190,KI,141,693,97,241,0,3
M-V 05-3600,KI,145,616,125,270,0,0
RNT 11-3660,KI,98,341,74,174,0,2
AUB 47-3518,KI,149,640,158,309,0,2
KEN 47-2838,KI,196,650,108,307,0,3
PAC 30-0885,KI,174,762,165,342,0,3
PAC 30-0887,KI,207,796,123,332,0,2
PAC 30-0886,KI,167,668,118,287,0,2
DARWOOD,KI,146,472,134,285,0,5
RNT 41-3438,KI,89,365,71,160,0,0
BRIARWOOD,KI,145,582,148,293,0,0
KEN 47-0880,KI,90,362,56,148,0,2
KEN 47-3537,KI,138,557,110,249,0,1
AUB 47-0059,KI,186,678,179,365,0,0
RNT 33-0455,KI,185,767,151,339,0,3
KEN 47-3447,KI,64,248,42,107,0,1
KEN 47-2667,KI,113,528,61,176,0,2
RNT 11-1008,KI,147,662,112,264,0,5
RNT 11-1007,KI,64,315,85,149,0,0
RNT 11-1006,KI,104,453,90,194,0,0
RNT 11-1004,KI,76,317,65,141,0,0
AUB 47-0055,KI,89,391,67,156,0,0
KEN 47-0498,KI,63,231,31,94,0,0
PTARMIGAN,KI,104,344,87,195,0,4
SPRING LAKE,KI,195,745,235,431,0,1
AUB 31-0078,KI,103,404,90,193,0,0
AUB 31-0070,KI,187,655,78,267,0,2
RNT 37-0965,KI,219,708,124,346,0,3
AUB 47-3635,KI,159,746,133,295,0,3
WANDA,KI,120,417,83,205,0,2
RNT 11-3590,KI,195,710,128,327,0,4
M-V 05-3589,KI,209,725,133,343,0,1
COV 47-3551,KI,105,375,73,181,0,3
BETTY,KI,170,775,90,263,0,3
AUB 30-2702,KI,114,470,42,156,0,0
AUB 30-2703,KI,48,262,15,63,0,0
KEN 47-2985,KI,137,571,61,198,0,0
RNT 05-3698,KI,20,52,7,27,0,0
RNT 11-3564,KI,119,491,126,246,0,1
FAIRWEATHER,KI,92,269,72,164,0,0
MONEYSMITH,KI,207,669,183,390,0,0
