Row Label,County,D. Mark Eide,Registered Voters,Times Blank Voted,Times Counted,Times Over Voted,Write-in
VASHON,KI,97,390,118,215,0,0
DOLPHIN,KI,89,275,91,183,0,3
FED 30-3372,KI,134,450,92,227,0,1
BUR 34-0377,KI,173,607,117,293,0,3
DES 33-2455,KI,116,579,57,175,0,2
FED 30-3012,KI,105,301,89,194,0,0
WESTWOOD,KI,0,0,0,0,0,0
BUR 34-0465,KI,71,228,61,132,0,0
BUR 34-1047,KI,197,744,156,355,0,2
DES 33-0016,KI,99,281,81,180,0,0
TROUT LAKE,KI,204,719,145,352,0,3
DES 33-1146,KI,159,591,132,299,0,8
BILOXI,KI,134,430,153,287,0,0
SEALTH,KI,115,378,114,229,0,0
DES 33-0362,KI,126,554,82,209,0,1
TUK 11-1165,KI,191,752,148,340,0,1
SET 33-3066,KI,103,491,75,179,0,1
SET 33-3076,KI,185,623,120,310,0,5
SET 33-3081,KI,158,738,109,269,0,2
DES 30-1227,KI,209,635,166,378,0,3
FED 30-3034,KI,81,359,89,171,0,1
BUR 33-0701,KI,190,722,101,291,0,0
FED 30-3036,KI,95,342,52,148,0,1
FED 30-3037,KI,131,359,58,191,0,2
FED 30-3030,KI,103,361,69,175,0,3
BUR 33-0705,KI,142,701,113,260,0,5
FED 30-3032,KI,83,267,48,131,0,0
FED 30-3033,KI,124,408,75,201,0,2
SET 33-3101,KI,138,366,86,228,0,4
FED 30-3238,KI,100,359,47,148,0,1
DES 33-1071,KI,103,390,77,181,0,1
FED 30-3038,KI,61,198,51,115,0,3
FED 30-3039,KI,128,331,53,186,0,5
FED 30-3237,KI,213,745,160,376,0,3
TUK 11-2951,KI,126,601,109,236,0,1
CHAUTAUQUA,KI,118,416,137,259,0,4
BUR 34-0344,KI,149,420,151,301,0,1
ROUNDTABLE,KI,121,602,91,212,0,0
TUK 11-2952,KI,78,294,48,126,0,0
BUR 34-1058,KI,167,493,148,315,0,0
BUR 34-1059,KI,188,614,130,321,0,3
BUR 34-1057,KI,215,660,207,423,0,1
BAKER,KI,178,599,166,347,0,3
FED 30-3055,KI,186,575,93,280,0,1
COVE,KI,158,545,191,350,0,1
BUR 34-0699,KI,277,823,209,489,0,3
BUR 34-1116,KI,119,387,70,192,0,3
FED 30-3085,KI,146,416,109,257,0,2
FED 30-3087,KI,151,508,104,259,0,4
FED 30-3086,KI,168,526,110,279,0,1
BURTON,KI,76,241,87,163,0,0
FED 30-3088,KI,156,538,104,263,0,3
DES 33-0532,KI,89,271,59,148,0,0
TUK 11-2751,KI,64,273,72,136,0,0
TUK 11-3499,KI,59,245,47,109,0,3
FED 30-3008,KI,105,365,57,163,0,1
SET 33-3618,KI,83,325,37,125,0,5
FED 30-3001,KI,227,622,127,357,0,3
FED 30-3000,KI,130,479,65,197,0,2
FED 30-3003,KI,153,563,115,270,0,2
