Row Label,County,Vickie L. Raines,Keith Olson
Montesano 601,GY,486,210
Riviera 050,GY,21,17
McCleary Rural 060,GY,196,193
Hoquiam 421,GY,184,106
Satsop 052,GY,101,73
Aberdeen 132,GY,0,0
Lois Lane 082,GY,76,35
Montesano 603,GY,0,0
Ocosta 092,GY,0,0
Cutoff032,GY,44,54
Johns River 094,GY,159,105
Melbourne 072,GY,182,122
Bush 058,GY,302,239
Aberdeen 121,GY,326,167
Geissler 036,GY,25,24
Coats Landing 034,GY,141,116
Hoquiam 441,GY,228,143
Grayland 096,GY,145,134
Hoquiam 461,GY,179,98
Blockhouse 068,GY,147,147
Boundary 044,GY,31,21
Westport 901,GY,312,218
Humptulips 018,GY,16,38
Chehalis 066,GY,4,2
Elma 302,GY,279,182
Aberdeen 111,GY,352,189
Cohasset 098,GY,103,74
Aberdeen Lake 038(*),GY,0,0
Burrows 014,GY,19,14
Quinault 004,GY,45,121
Porter 062,GY,86,113
Delezenne 070,GY,169,163
Pacific Beach 008,GY,106,103
Aberdeen 131,GY,426,233
Elma 301,GY,114,100
Axford 020,GY,52,66
Brady 048,GY,317,144
Dekay 022,GY,49,30
Ocean City 012,GY,154,108
Moclips 010,GY,10,8
Sierra 086(*),GY,0,0
Cosmopolis 201,GY,317,229
Cedar Creek 064,GY,44,59
Ocean Shores 801,GY,354,214
Ocean Shores 802,GY,488,328
Ocean Shores 803,GY,410,296
Aberdeen 141,GY,357,182
Calder 056,GY,135,115
Lund 088,GY,37,39
Taholah 002,GY,65,107
Aberdeen 142,GY,275,147
Devonshire 074,GY,169,97
Reynvaan 040,GY,81,46
Hoquiam 411,GY,235,122
Aberdeen 161,GY,323,175
Wilderness 016,GY,42,66
Hoquiam 451,GY,188,114
Hoquiam 431,GY,197,161
Blue Slough 084,GY,129,60
Black Creek 046,GY,282,198
Hoquiam Rural 024,GY,173,130
Wishkah 030,GY,128,144
North Wishkah 028(*),GY,0,0
Stover 026,GY,35,32
Oakville 701,GY,66,88
Vesta 076,GY,23,46
Artic 078,GY,25,36
Wynoochee 042,GY,2,4
Montesano 602,GY,450,212
Aberdeen 151,GY,198,120
Central Park 080,GY,364,220
Newskah 090,GY,14,4
McCleary 501,GY,218,176
Neilton 006,GY,25,63
Total,GY,11440,7942
