Row Label,County,Tom Copland
Montesano 601,GY,462
Riviera 050,GY,27
McCleary Rural 060,GY,239
Hoquiam 421,GY,221
Satsop 052,GY,111
Aberdeen 132,GY,0
Lois Lane 082,GY,80
Ocosta 092,GY,0
Cutoff032,GY,67
Johns River 094,GY,188
Melbourne 072,GY,205
Bush 058,GY,341
Aberdeen 121,GY,374
Geissler 036,GY,31
Coats Landing 034,GY,184
Hoquiam 441,GY,291
Grayland 096,GY,197
Hoquiam 461,GY,228
Blockhouse 068,GY,183
Boundary 044,GY,31
Westport 901,GY,365
Humptulips 018,GY,35
Chehalis 066,GY,4
Elma 302,GY,329
Aberdeen 111,GY,407
Cohasset 098,GY,126
Burrows 014,GY,17
Quinault 004,GY,87
Porter 062,GY,118
Delezenne 070,GY,230
Pacific Beach 008,GY,135
Aberdeen 131,GY,501
Elma 301,GY,155
Axford 020,GY,87
Brady 048,GY,274
Hoquiam 431,GY,262
Dekay 022,GY,44
Ocean City 012,GY,166
Moclips 010,GY,16
Montesano 603,GY,0
Cosmopolis 201,GY,390
Cedar Creek 064,GY,55
Ocean Shores 801,GY,382
Ocean Shores 802,GY,497
Ocean Shores 803,GY,444
North Wishkah 028,GY,1
Calder 056,GY,173
Lund 088,GY,45
Taholah 002,GY,157
Aberdeen 142,GY,281
Devonshire 074,GY,186
Reynvaan 040,GY,86
Aberdeen Lake 038,GY,2
Aberdeen 161,GY,383
Wilderness 016,GY,75
Hoquiam 451,GY,214
Sierra 086,GY,1
Blue Slough 084,GY,137
Black Creek 046,GY,306
Hoquiam Rural 024,GY,201
Wishkah 030,GY,166
Stover 026,GY,37
Oakville 701,GY,95
Aberdeen 141,GY,373
Vesta 076,GY,32
Artic 078,GY,38
Wynoochee 042,GY,5
Montesano 602,GY,484
Aberdeen 151,GY,235
Central Park 080,GY,416
Newskah 090,GY,13
McCleary 501,GY,262
Neilton 006,GY,46
Total,GY,13285
Hoquiam 411,GY,249
