Row Label,County,Yes,No
Ephrata 7 012,GR,167,168
Hartline Rural S 020,GR,10,17
Moses Lake 5 029,GR,168,176
Ephrata 9 013,GR,282,268
Beverly 002,GR,14,19
East Wahluke 061,GR,23,70
Royal City 044,GR,56,65
Moses Lake 2 067,GR,161,122
Marlin 024,GR,4,14
Lakeview Park 021,GR,124,176
Moses Lake 9  068,GR,130,233
Coulee City 005,GR,79,138
North Banks Lake 037,GR,31,61
Ephrata Rural E,GR,117,178
Moses Lake 7 033,GR,207,212
George 015,GR,16,24
Mae 023,GR,327,527
Ruff 045,GR,15,42
Cascade Valley 058,GR,272,325
Wilson Crk Rural 056,GR,10,19
Electric City 007,GR,158,214
Coulee Cty Rur N 072,GR,38,47
Moses Lake 1 066,GR,110,128
Smyrna 2 060,GR,9,18
Hartline 019,GR,21,37
Moses Lake 4 031,GR,181,137
Cascade Fairgrnd 004,GR,138,105
Warden 050,GR,101,84
Ephrata 5 008,GR,139,155
Quincy 4 040,GR,74,85
Ephrata 4 011,GR,196,232
Quincy 1 039,GR,161,116
Stratford 049,GR,13,32
Westslope 1 053,GR,40,66
McConihe 1 028,GR,70,130
Marlin Rural 025,GR,18,29
Coulee Cty Rur W 006,GR,38,57
Coulee Cty Rur E 062,GR,2,21
Moses Lake 6 032,GR,281,216
Wheeler 2 070,GR,258,395
Longview 022,GR,176,228
Greenfield 065,GR,26,30
Mattawa Rural 027,GR,179,311
Airport 2 057,GR,127,72
Soap Lake 1 047,GR,105,98
Airport 1 001,GR,152,106
Grand Coulee 018,GR,135,135
Moses Lake 12 036,GR,163,212
Gloyd 017,GR,118,175
Hartline Rural N 073,GR,16,24
Smyrna 1 046,GR,48,80
Westslope 2 059,GR,32,52
Moses Lake 3 030,GR,241,280
Mattawa 026,GR,30,16
O Sullivan Dam 2 069,GR,277,391
Soap Lake 2 052,GR,97,95
Quincy Rural S 064,GR,212,355
Ephrata Rural ,GR,116,170
Ephrata 3 010,GR,153,106
Wheeler 1 054,GR,81,152
Warden Rural 051,GR,139,282
George Rural 016,GR,186,338
McConihe 2 063,GR,69,93
Quincy 6 041,GR,210,263
Block 71 003,GR,204,363
Wilson Creek 055,GR,44,35
Quincy Rural N 042,GR,90,152
Moses Lake 8 034,GR,239,297
O Sullivan Dam 1 038,GR,173,319
Soap Lake Rur E ,GR,48,52
Royal Camp 043,GR,161,301
Total,GR,8901,11519
Soap Lake Rur W ,GR,136,227
Ephrata 2 009,GR,161,211
Moses Lake 11 035,GR,298,340
