Row Label,County,Yes,No
Montesano 601,GY,358,360
Riviera 050,GY,16,26
McCleary Rural 060,GY,176,242
Hoquiam 421,GY,178,111
Satsop 052,GY,91,85
Aberdeen 132,GY,0,0
Lois Lane 082,GY,56,60
Montesano 603,GY,0,0
Ocosta 092,GY,0,0
Cutoff032,GY,46,53
Johns River 094,GY,152,134
Melbourne 072,GY,123,196
Bush 058,GY,249,331
Aberdeen 121,GY,297,215
Geissler 036,GY,21,28
Coats Landing 034,GY,132,136
Hoquiam 441,GY,227,161
Grayland 096,GY,148,155
Hoquiam 461,GY,188,101
Blockhouse 068,GY,136,177
Boundary 044,GY,18,36
Westport 901,GY,287,282
Elma 302,GY,261,231
Chehalis 066,GY,5,2
Black Creek 046,GY,205,296
Aberdeen 111,GY,338,225
Cohasset 098,GY,88,103
Aberdeen Lake 038(*),GY,0,0
Burrows 014,GY,13,21
Quinault 004,GY,82,79
Porter 062,GY,85,131
Delezenne 070,GY,158,207
Pacific Beach 008,GY,98,116
Aberdeen 131,GY,384,287
Elma 301,GY,112,110
Axford 020,GY,57,61
Brady 048,GY,216,264
Dekay 022,GY,40,42
Ocean City 012,GY,150,124
Moclips 010,GY,12,9
Sierra 086(*),GY,0,0
Cosmopolis 201,GY,294,249
Cedar Creek 064,GY,38,81
Ocean Shores 801,GY,308,304
Ocean Shores 802,GY,398,491
Ocean Shores 803,GY,338,419
Aberdeen 141,GY,291,265
Calder 056,GY,132,131
Lund 088,GY,37,38
Taholah 002,GY,145,28
Aberdeen 142,GY,254,186
Devonshire 074,GY,150,115
Reynvaan 040,GY,62,67
Hoquiam 411,GY,189,177
Aberdeen 161,GY,286,229
Wilderness 016,GY,53,57
Hoquiam 451,GY,200,125
Hoquiam 431,GY,218,145
Blue Slough 084,GY,87,105
Wynoochee 042(*),GY,0,0
Hoquiam Rural 024,GY,151,161
Wishkah 030,GY,124,151
North Wishkah 028(*),GY,0,0
Stover 026,GY,38,29
Oakville 701,GY,65,106
Vesta 076,GY,35,38
Artic 078,GY,25,36
Humptulips 018,GY,24,30
Montesano 602,GY,353,320
Aberdeen 151,GY,191,138
Central Park 080,GY,309,299
Newskah 090,GY,4,13
McCleary 501,GY,207,203
Neilton 006,GY,40,43
Total,GY,10252,9986
