Row Label,County,Yes,No
CAMANO 08,IS,221,243
CAMANO 09,IS,312,367
S WHIDBEY 09,IS,459,360
S WHIDBEY 08,IS,432,258
N WHIDBEY 04,IS,333,445
N WHIDBEY 05,IS,152,238
N WHIDBEY 06,IS,152,246
N WHIDBEY 07,IS,237,308
S WHIDBEY 03,IS,512,366
S WHIDBEY 02,IS,469,348
S WHIDBEY 01,IS,464,394
CAMANO 03,IS,322,376
S WHIDBEY 07,IS,471,345
S WHIDBEY 06,IS,415,361
S WHIDBEY 05,IS,566,316
S WHIDBEY 04,IS,456,306
N WHIDBEY 01,IS,285,427
N WHIDBEY 03,IS,249,270
CAMANO 01,IS,280,272
C WHIDBEY 03,IS,384,429
C WHIDBEY 02,IS,409,425
C WHIDBEY 01,IS,182,286
COUPEVILLE,IS,449,348
C WHIDBEY 05,IS,364,423
C WHIDBEY 04,IS,390,395
N WHIDBEY 02,IS,293,374
N WHIDBEY 08,IS,157,301
N WHIDBEY 09,IS,189,226
CAMANO 02,IS,319,412
N WHIDBEY 11,IS,59,52
N WHIDBEY 10,IS,90,93
S WHIDBEY 10,IS,463,322
CAMANO 04,IS,425,511
CAMANO 05,IS,343,427
CAMANO 06,IS,349,388
CAMANO 11,IS,333,341
CAMANO 10,IS,243,283
CAMANO 07,IS,295,328
OAK HARBOR 08,IS,279,245
OAK HARBOR 09,IS,108,46
OAK HARBOR 01,IS,267,332
OAK HARBOR 02,IS,216,233
OAK HARBOR 03,IS,305,288
OAK HARBOR 04,IS,303,299
OAK HARBOR 05,IS,276,350
OAK HARBOR 06,IS,309,215
OAK HARBOR 07,IS,353,282
LANGLEY,IS,422,163
Total,IS,15361,15063
