Row Label,County,Yes,No
Usk,PE,53,132
Diamond Lk East,PE,54,63
Sacheen,PE,160,110
Diamond Lk,PE,193,190
Diamond Lk West,PE,87,111
Noble,PE,139,194
Furport,PE,105,146
Deer Valley South,PE,41,34
Cusick,PE,74,60
Ione East,PE,56,115
Kalispel Leclerc,PE,76,76
Tiger Dry Canyon,PE,129,178
Ruby,PE,13,14
Ione West,PE,97,104
Newport NE,PE,127,128
Metaline,PE,47,50
Newport SE,PE,53,59
Skookum,PE,31,37
Newport NW,PE,142,99
Newport SW,PE,115,74
Dalkena,PE,123,180
Deer Valley North,PE,111,127
Locke,PE,12,29
Fertile Valley South,PE,69,104
Fertile Valley North,PE,66,120
Camden,PE,58,129
Total,PE,2305,2781
Metaline Falls,PE,74,118
