Row Label,County,Yes,No
Yellowhawk 58,WL,21,23
CP 3 63,WL,188,302
Touchet 5 56(*),WL,0,0
Spruce 24,WL,106,109
Birch 05,WL,142,123
Baumeister 04,WL,188,208
Jefferson 13,WL,243,335
Ice Harbor 34,WL,127,317
Alder 02,WL,86,87
Waitsburg 65,WL,233,245
Lincoln 49,WL,31,45
CP 1 61,WL,244,258
Watertown 29,WL,125,147
Frenchtown 4 45,WL,16,29
Ritz 53,WL,172,387
CP 2 62,WL,157,219
Frenchtown 5 44,WL,63,141
Alderbrook 01,WL,101,136
Baker 33,WL,26,75
Edison 08,WL,142,140
Pine 21,WL,87,86
Mill Creek 50,WL,82,180
Sharpstein 23,WL,150,122
Gose 47,WL,38,66
CP 5 67,WL,156,272
Henderson 11,WL,142,142
Burbank 38,WL,231,258
Garfield 09,WL,170,149
Washington 60,WL,55,98
Garrison 46,WL,85,150
Berney 35,WL,110,174
Isaacs 12,WL,97,107
Paine 20,WL,87,64
Pleasant 22,WL,244,286
Wallula 59,WL,12,29
Monroe 18,WL,264,375
Ash 03,WL,188,240
Dixie 41,WL,66,199
Touchet 4 55,WL,108,219
CP 6 68,WL,23,42
Eureka 4 43(*),WL,0,0
Blalock 36,WL,170,293
Stadium 25,WL,127,128
Clyde 39,WL,14,19
CP 4 66,WL,255,305
Pros Point 52,WL,358,585
Wainwright 28,WL,202,229
Moore 51,WL,101,139
Eureka 5 42,WL,25,24
Derry 40,WL,57,102
College 07,WL,162,116
Prescott 64,WL,29,59
Green Park 10,WL,109,107
Twin Grove 57,WL,74,181
Tausick 26,WL,123,150
Marcus 17,WL,300,373
Braden 37,WL,176,353
McNary 54,WL,82,177
Maple 16,WL,267,300
Total,WL,7672,10516
Abbott 31,WL,127,208
Clark 06,WL,106,80
