Row Label,County,Yes,No
PRECINCT 107,DG,123,72
PRECINCT 106,DG,126,66
PRECINCT 105,DG,83,61
PRECINCT 104,DG,267,239
PRECINCT 103,DG,71,32
PRECINCT 102,DG,272,172
PRECINCT 101,DG,169,66
PRECINCT 109,DG,93,49
PRECINCT 108,DG,133,79
PRECINCT 305,DG,119,45
PRECINCT 304,DG,47,23
PRECINCT 307,DG,41,23
PRECINCT 306,DG,122,74
PRECINCT 208,DG,112,61
PRECINCT 209,DG,217,123
PRECINCT 303,DG,139,92
PRECINCT 302,DG,182,178
PRECINCT 204,DG,218,130
PRECINCT 205,DG,270,167
PRECINCT 206,DG,121,84
PRECINCT 207,DG,236,119
PRECINCT 309,DG,64,27
PRECINCT 201,DG,149,86
PRECINCT 202,DG,75,40
PRECINCT 203,DG,181,107
PRECINCT 311,DG,107,59
PRECINCT 310,DG,84,34
PRECINCT 316,DG,186,124
PRECINCT 308,DG,45,21
PRECINCT 314,DG,26,37
PRECINCT 315,DG,230,163
PRECINCT 114,DG,118,74
PRECINCT 110,DG,177,105
PRECINCT 111,DG,250,157
PRECINCT 112,DG,160,81
PRECINCT 113,DG,114,85
PRECINCT 318,DG,67,35
PRECINCT 312,DG,128,76
PRECINCT 313,DG,41,22
PRECINCT 215,DG,170,106
PRECINCT 214,DG,52,25
PRECINCT 213,DG,141,59
PRECINCT 212,DG,158,70
PRECINCT 211,DG,59,33
PRECINCT 210,DG,76,37
PRECINCT 317,DG,278,170
PRECINCT 301,DG,284,166
Total,DG,6581,3954
