Row Label,County,Yes,No
Salzer,LE,133,43
Napavine #2,LE,0,0
Packwood,LE,59,53
Napavine #5,LE,0,0
Napavine #6,LE,0,0
Napavine #1,LE,306,165
Union,LE,189,85
Paradise,LE,38,20
Napavine #4,LE,0,0
Urquhart,LE,138,73
Mossyrock,LE,104,50
Independence,LE,63,21
Sommerville,LE,43,25
Stillwater West,LE,123,68
Veness,LE,261,116
Greenwood,LE,15,5
Stearns Creek,LE,116,37
Elk Crk,LE,100,41
Stillwater East,LE,71,39
Agate,LE,145,51
Skookumchuck,LE,268,105
Silver Creek,LE,290,92
Meskill,LE,52,17
Onalaska,LE,534,183
Jackson,LE,353,134
Napavine #3(*),LE,0,0
Toledo,LE,109,82
Mauermann,LE,69,21
Chehalis #9,LE,9,6
Chehalis #8,LE,148,127
Harmony,LE,272,118
Chehalis #1,LE,154,124
Chehalis #3,LE,105,105
Chehalis #2,LE,109,84
Chehalis #5,LE,107,72
Chehalis #4,LE,135,78
Chehalis #7,LE,41,22
Chehalis #6,LE,225,148
Centralia #2,LE,249,177
Centralia #3,LE,84,73
Centralia #1,LE,113,61
Centralia #6,LE,219,133
Centralia #7,LE,106,66
Centralia #4,LE,162,97
Centralia #5,LE,97,68
Centralia #8,LE,131,76
Centralia #9,LE,256,140
Mineral,LE,170,53
Salkum,LE,233,74
Randle West,LE,203,74
Ethel,LE,370,130
Fair,LE,0,0
Mellen(*),LE,0,0
Crego,LE,572,270
Parcuvia,LE,199,109
Evaline West,LE,154,51
Pe Ell,LE,141,60
Newaukum,LE,236,119
Forest,LE,292,118
Dryad,LE,91,37
Temple,LE,246,87
Cowlitz,LE,406,190
Drews Prairie,LE,120,66
Seminary Hill,LE,136,73
Klickitat,LE,173,62
Verndale,LE,263,96
Cinebar,LE,257,76
Whealdon,LE,165,103
Sears,LE,165,101
Adna ,LE,458,206
Big Bottom,LE,248,166
Fords Prairie,LE,289,121
Jackson North,LE,0,0
Boistfort,LE,103,29
Claquato,LE,254,114
Curtis,LE,103,44
Vader,LE,100,55
Logan,LE,267,106
Alpha,LE,376,140
Berwick,LE,365,172
Evaline East,LE,100,41
Lincoln Creek,LE,222,95
Randle East,LE,233,126
Salmon Creek,LE,431,199
Emery,LE,183,49
Emery North(*),LE,0,0
Winlock,LE,188,98
Prescott,LE,524,232
Total,LE,16447,7928
Kelly,LE,0,0
Roswell,LE,7,5
Centralia #10,LE,86,56
Centralia #11,LE,254,150
Centralia #12,LE,269,197
Centralia #13,LE,288,187
Morton,LE,200,87
