Row Label,County,Yes,No
BELFAIR,MA,305,180
MILL CREEK,MA,384,325
HARSTINE,MA,367,428
DAYTON,MA,302,161
DOWNTOWN,MA,245,207
AIRPORT,MA,426,320
MATLOCK,MA,326,210
AGATE,MA,337,218
JOHN&#39;S PRAIRIE,MA,291,137
OLYMPIC VIEW,MA,348,302
ISABELLA,MA,230,124
CUSHMAN,MA,315,332
MASON LAKE,MA,258,241
SAND HILL,MA,371,227
KAMILCHE POINT,MA,147,166
HILLCREST,MA,217,158
EELLS,MA,138,82
BORDEAUX,MA,57,29
ANGLESIDE,MA,308,267
ARCADIA,MA,360,321
HOOD CANAL,MA,358,308
UNION,MA,431,478
LIMERICK,MA,415,382
FAWN LAKE,MA,359,302
TIGER LAKE,MA,212,112
PICKERING,MA,300,230
CALLANAN,MA,17,6
KAMILCHE,MA,161,83
VICTOR,MA,256,190
TWANOH,MA,192,176
OAKLAND BAY,MA,288,182
TAHUYA,MA,329,241
ALLYN,MA,503,519
DEWATTO,MA,392,266
TIMBERLAKE,MA,389,281
GRAPEVIEW,MA,397,325
FAIR HARBOR,MA,217,224
TRAIL&#39;S END,MA,418,221
SKOKOMISH,MA,51,63
Total,MA,11417,9024
