Row Label,County,Yes,No
MILL CREEK,ST,92,80
KETTLE FALLS 1,ST,235,124
COLUMBIA,ST,358,177
ARDEN 1,ST,209,127
COLVILLE 1,ST,101,47
COLVILLE 2,ST,109,85
DAISY,ST,119,81
COLVILLE 4,ST,217,187
COLVILLE 5,ST,173,174
COLVILLE 6,ST,101,115
COLVILLE 7,ST,132,82
COLVILLE VALLEY,ST,388,254
STONE LODGE,ST,253,145
ECHO VALLEY,ST,145,84
LOON LAKE 2,ST,138,143
NARCISSE,ST,322,173
LOON LAKE 1,ST,305,202
COLVILLE 3,ST,117,78
CAMAS PRAIRIE,ST,145,86
EVANS,ST,168,77
SPRINGDALE,ST,47,26
MEYERS FALLS 2,ST,366,151
NORTHPORT,ST,67,41
SUMMIT,ST,198,74
KELLY HILL,ST,75,44
CLAYTON 2,ST,294,142
CLAYTON 1,ST,154,106
ARDEN 2,ST,228,162
MEYERS FALLS 1,ST,206,121
WAITTS LAKE,ST,230,153
WELLPINIT,ST,100,90
CHEWELAH 3,ST,133,97
HUNTERS,ST,266,153
ONION CREEK,ST,84,66
CHEWELAH 2,ST,76,74
CHEWELAH 1,ST,194,106
ECHO,ST,280,131
QUARTZITE 1,ST,413,188
QUARTZITE 2,ST,163,129
TUM TUM 5,ST,229,161
TUM TUM 4,ST,199,140
ROCK CUT,ST,61,37
TUM TUM 1,ST,166,83
TUM TUM 3,ST,338,217
TUM TUM 2,ST,285,176
MARCUS,ST,43,27
Total,ST,10801,6590
FIRST THOUGHT,ST,52,14
WALKERS PRAIRIE,ST,183,98
CAMAS,ST,233,128
ADDY,ST,304,131
WILLIAMS VALLEY,ST,340,180
ORIN 1,ST,190,94
ORIN 2,ST,231,127
KETTLE FALLS 2,ST,147,74
CHEWELAH FORE,ST,89,99
RICE,ST,126,94
VALLEY 1,ST,42,32
VALLEY 2,ST,142,103
