Row Label,County,No,Registered Voters,Times Blank Voted,Times Counted,Times Over Voted,Yes
ISS 41-3554,KI,199,416,2,281,0,80
KEN 33-3232,KI,137,502,4,204,0,63
SEA 46-1968,KI,153,297,0,177,0,24
SEA 36-1391,KI,226,439,3,262,1,32
SEA 36-1390,KI,163,290,10,191,0,18
SEA 36-1393,KI,182,297,7,209,0,20
SEA 36-1392,KI,219,411,3,255,0,33
SEA 36-1395,KI,246,444,3,276,0,27
SEA 36-1394,KI,290,559,6,336,0,40
SEA 36-1397,KI,199,357,4,233,1,29
SEA 36-1396,KI,139,282,4,166,0,23
SEA 36-1399,KI,179,296,2,205,0,24
SEA 36-1398,KI,230,503,3,265,0,32
COV 47-2843,KI,190,792,8,395,1,196
BILOXI,KI,235,430,3,287,0,49
SHL 32-1209,KI,186,478,6,262,0,70
SEA 46-3687,KI,111,220,4,143,0,28
KIR 48-2731,KI,169,483,2,233,1,61
SEA 36-1403,KI,189,497,7,234,0,38
SEA 36-1402,KI,166,381,5,206,0,35
KEN 47-0835,KI,158,645,3,276,0,115
M-V 05-3368,KI,161,748,4,350,0,185
SEA 34-3637,KI,196,567,9,309,0,104
FED 30-3236,KI,191,746,10,351,0,150
FED 30-3237,KI,211,745,21,376,0,144
FED 30-3234,KI,76,382,8,163,0,79
FED 30-3235,KI,96,400,4,172,0,72
FED 30-3238,KI,67,359,1,148,0,80
SEA 37-1936,KI,198,296,5,222,0,19
BEL 48-2559,KI,176,431,3,259,0,80
SEA 37-1934,KI,380,784,6,472,0,86
AUB 30-0067,KI,78,430,4,164,0,82
WINTERGREEN,KI,94,279,0,161,0,67
TROUT LAKE,KI,149,719,5,352,0,198
SEA 34-1502,KI,180,342,3,223,0,40
ISS 05-0550,KI,93,300,3,172,0,76
SHL 32-0423,KI,166,389,5,224,0,53
SHL 32-0920,KI,132,314,1,188,0,55
SEA 37-1638,KI,112,505,2,162,0,48
SHL 32-0424,KI,136,318,3,192,0,53
SEA 37-1635,KI,114,524,13,199,0,72
SEA 37-1634,KI,129,473,7,191,0,55
SEA 37-1637,KI,182,760,18,295,0,95
SEA 37-1636,KI,157,586,10,217,0,50
SEA 37-1631,KI,157,301,1,187,0,29
GRAFF,KI,49,105,0,64,0,15
SEA 37-1633,KI,126,329,4,163,0,33
SEA 37-1632,KI,137,292,4,173,0,32
SEA 36-1715,KI,149,355,3,172,0,20
SEA 36-1714,KI,264,526,7,321,0,50
SEA 36-1717,KI,104,251,8,134,0,22
SEA 36-1716,KI,151,357,4,177,0,22
SEA 36-1711,KI,318,760,3,379,0,58
SEA 36-1710,KI,119,351,5,157,0,33
SEA 36-1713,KI,146,362,4,176,0,26
SEA 36-1712,KI,226,463,7,269,0,36
KMR 46-1181,KI,110,295,3,169,0,56
SEA 36-1719,KI,249,510,5,299,0,45
SEA 36-1718,KI,124,318,6,155,0,25
TUK 11-2949,KI,120,585,4,225,0,101
AUB 47-0059,KI,182,678,5,365,0,178
RNT 11-2815,KI,134,677,5,215,1,75
KIR 45-2679,KI,239,614,5,379,0,135
AUB 47-0055,KI,81,391,6,156,0,69
SEA 11-1928,KI,112,298,1,145,0,32
SEA 43-2850,KI,159,359,3,182,0,20
SHL 32-0527,KI,191,626,2,274,0,81
KIR 45-2471,KI,273,720,6,453,0,174
KEN 47-0498,KI,41,231,1,94,0,52
SHL 32-0335,KI,132,414,3,195,0,60
PTARMIGAN,KI,107,344,3,195,0,85
SPRING LAKE,KI,220,745,8,431,0,203
SEA 36-2170,KI,234,450,9,285,1,41
SEA 36-2171,KI,260,491,8,329,1,60
SEA 36-2172,KI,182,319,3,214,0,29
AUB 31-0078,KI,93,404,4,193,0,96
ALDARRA,KI,241,711,6,434,0,187
SEA 46-2338,KI,198,543,7,260,0,55
BIG BEND,KI,81,216,1,124,0,42
AUB 31-0070,KI,111,655,5,267,0,151
KIR 45-2786,KI,173,351,1,236,0,62
SEA 46-2290,KI,169,289,4,195,0,22
WOD 45-3530,KI,241,692,4,364,0,119
SEA 46-2291,KI,173,387,2,204,0,29
BEL 48-2778,KI,112,243,1,148,0,35
BETTY,KI,155,775,9,263,0,99
BEL 48-2773,KI,94,287,2,142,0,46
BEL 48-2772,KI,146,345,3,205,0,56
SEA 46-2295,KI,261,481,10,310,0,39
BEL 48-2777,KI,57,229,2,89,0,30
BEL 48-2776,KI,162,495,5,274,0,107
BEL 48-2775,KI,191,478,5,264,0,68
BEL 48-2774,KI,123,434,1,186,0,62
SEA 36-3153,KI,161,390,3,187,0,23
MERLIN,KI,81,411,5,170,0,84
SEA 37-1918,KI,194,347,1,212,0,17
SEA 37-1919,KI,169,378,6,207,0,32
SEA 37-1914,KI,321,523,7,364,0,36
RNT 11-3563,KI,170,625,3,277,1,103
SEA 37-1916,KI,244,357,5,261,0,12
SEA 37-1917,KI,273,454,5,311,0,33
SEA 37-1910,KI,301,513,6,329,0,22
SEA 37-1911,KI,169,284,3,191,0,19
RNT 11-3564,KI,157,491,3,246,0,86
SEA 37-1913,KI,223,338,1,239,0,15
BUR 34-0033,KI,177,682,11,309,0,121
M-I 41-0755,KI,129,265,7,172,0,36
LAKE MORTON,KI,69,232,6,151,0,76
ISS 05-3634,KI,141,422,0,190,0,49
RNT 11-2583,KI,232,838,1,368,0,135
RNT 11-2582,KI,189,795,8,270,0,73
HOLLYWOOD,KI,227,538,8,359,0,124
SEA 43-1339,KI,164,298,6,187,0,17
M-V 05-3510,KI,107,381,3,213,0,103
BEL 41-3593,KI,108,534,1,182,0,73
SEA 43-1338,KI,284,449,2,302,0,16
SEA 34-3632,KI,84,271,1,99,0,14
KEN 11-0893,KI,116,580,2,209,0,91
BEL 41-3608,KI,249,714,3,349,0,97
SAM 41-2690,KI,176,526,2,271,0,93
RNT 11-0988,KI,86,437,3,172,0,83
RNT 11-0985,KI,95,325,5,167,0,67
RNT 11-0984,KI,76,279,3,140,0,61
RNT 11-0986,KI,210,719,11,349,0,128
RNT 11-0981,KI,234,794,9,399,0,156
RNT 11-0980,KI,56,333,0,90,0,34
AUB 47-2573,KI,190,679,6,391,0,195
KEN 33-0578,KI,124,501,6,207,0,77
KEN 33-0576,KI,80,394,2,165,0,83
KEN 33-0577,KI,88,371,9,170,0,73
KEN 33-0575,KI,80,413,1,153,0,72
BERRYDALE,KI,116,505,4,277,0,157
LOUIE,KI,122,512,5,236,0,109
M-V 05-3600,KI,166,616,10,270,0,94
M-V 05-3601,KI,153,496,4,239,0,82
BEL 41-0733,KI,207,718,6,315,0,102
GOLDFINCH,KI,120,281,3,165,0,42
ENM 31-0409,KI,77,379,4,196,0,115
LAKE RETREAT,KI,136,654,6,347,0,205
CLOVER,KI,133,594,9,299,0,157
SEA 37-1898,KI,136,285,7,158,0,15
RNT 11-1125,KI,149,661,3,268,0,116
HERON,KI,118,424,3,222,0,101
COV 47-3597,KI,84,293,2,150,0,64
RNT 33-2472,KI,157,587,1,252,0,94
CHINOOK,KI,130,671,3,357,0,224
SEA 34-1476,KI,134,273,4,170,0,32
AUB 31-3299,KI,56,248,1,155,0,98
SEA 34-1474,KI,186,402,2,227,0,39
BROKEN HILL,KI,154,639,5,268,0,109
SEA 11-1600,KI,193,550,9,257,0,55
SEA 43-1787,KI,223,564,6,277,0,48
SEA 11-1602,KI,207,598,6,288,0,75
SEA 34-1475,KI,140,311,2,176,0,34
SEA 34-1543,KI,173,327,3,218,0,42
SEA 34-1540,KI,135,333,2,176,0,39
SEA 34-1541,KI,171,380,8,235,0,56
SEA 34-1472,KI,131,239,2,171,0,38
SALISH,KI,266,674,5,418,0,147
SEA 43-1788,KI,500,807,17,580,0,63
SEA 34-1473,KI,141,319,3,180,0,36
ALG 30-0014,KI,92,486,4,229,0,133
KIR 01-0019,KI,259,752,5,433,0,169
SEA 37-3666,KI,89,422,4,128,0,35
SEA 34-1470,KI,283,677,11,352,0,58
ALG 30-0013,KI,75,467,2,153,0,76
CALHOUN,KI,101,574,3,236,0,132
RED 48-3475,KI,115,356,7,210,0,88
COLVOS,KI,116,250,2,153,0,35
RNT 11-0502,KI,178,703,4,346,0,164
LFP 46-1075,KI,163,366,5,217,0,49
SEA 32-2206,KI,212,412,5,266,0,49
SEA 46-2316,KI,200,411,4,239,0,35
SEA 32-2204,KI,184,339,5,230,0,41
SEA 46-2314,KI,185,337,1,217,0,31
SEA 32-2202,KI,179,436,9,250,0,62
COV 47-3581,KI,83,385,6,180,0,91
SEA 32-2200,KI,227,385,3,263,0,33
SEA 32-2201,KI,263,463,2,315,0,50
BEL 48-0207,KI,127,327,3,186,0,56
BEL 48-0201,KI,192,512,6,293,0,95
SEA 32-2208,KI,188,350,6,224,0,30
SEA 32-2209,KI,334,599,9,402,0,59
SEA 34-1438,KI,170,328,1,209,0,38
SEA 34-1439,KI,167,369,2,220,0,51
SEA 34-1432,KI,177,331,6,218,0,35
SEA 34-1433,KI,168,319,6,208,0,34
KEN 47-3323,KI,100,459,5,218,0,113
SEA 34-1431,KI,168,308,2,203,0,33
SEA 34-1436,KI,121,362,2,156,0,33
SEA 34-1437,KI,190,498,11,254,0,53
SEA 34-1434,KI,145,271,2,183,0,36
SEA 34-1435,KI,133,299,2,178,0,43
KEN 47-2403,KI,85,466,2,171,0,84
SAM 41-3638,KI,238,717,9,346,0,99
SAM 45-2564,KI,315,749,7,418,0,96
FAIRMONT,KI,124,394,2,216,0,90
CHALLENGER,KI,120,293,4,185,0,61
BEL 48-0149,KI,150,416,2,234,0,82
BEL 48-0142,KI,105,299,3,159,0,51
BEL 48-0143,KI,106,291,3,152,0,43
BEL 48-0140,KI,151,425,2,234,0,81
BEL 48-0146,KI,99,298,5,173,0,69
BEL 48-0147,KI,133,444,1,207,0,73
BEL 48-0144,KI,112,320,8,169,0,49
BEL 48-0145,KI,99,274,0,137,0,38
SEA 46-2228,KI,192,486,5,234,0,37
SEA 46-2221,KI,232,513,5,298,0,61
DES 30-1227,KI,229,635,5,378,0,144
SHL 32-2753,KI,131,465,1,184,0,52
DANIEL,KI,172,574,4,323,0,147
ISS 05-2806,KI,167,399,4,243,0,72
SAM 45-3412,KI,274,738,9,406,0,123
JAY,KI,155,492,5,280,0,120
SHL 32-1210,KI,214,535,8,284,0,62
SEA 37-1944,KI,256,754,5,326,0,65
SEA 36-1386,KI,175,315,3,213,0,35
SEA 36-1387,KI,231,462,11,289,0,47
SEA 36-1384,KI,199,309,2,228,0,27
SEA 36-1385,KI,141,243,1,175,0,33
AUB 31-0082,KI,94,403,8,203,0,101
AUB 31-0083,KI,108,487,3,229,0,118
AUB 31-0080,KI,212,830,11,414,0,191
AUB 31-0081,KI,92,457,8,199,0,99
SEA 36-1388,KI,200,337,2,220,0,18
SEA 36-1389,KI,143,259,2,163,0,18
TUK 11-3393,KI,68,347,4,119,0,47
HONEY,KI,23,102,1,57,0,33
KEN 33-3332,KI,214,863,5,437,0,218
KEN 47-0798,KI,177,742,20,394,0,197
SET 33-3069,KI,88,353,6,169,0,75
SET 33-3068,KI,104,464,4,228,0,120
SKY 39-1091,KI,42,130,2,74,0,30
SET 33-3066,KI,79,491,2,179,0,98
KEN 33-3445,KI,101,375,2,188,0,85
SET 33-3064,KI,75,468,5,167,0,87
SET 33-3063,KI,101,330,5,173,0,67
SET 33-3062,KI,75,316,2,155,0,78
SET 33-3061,KI,89,340,7,166,0,70
SEA 37-1630,KI,134,309,8,169,0,27
KEN 33-2426,KI,158,550,4,298,1,135
SEA 43-1976,KI,80,242,0,94,0,14
SHL 32-1106,KI,203,585,6,299,0,90
BEL 41-2554,KI,266,645,6,343,0,71
SEA 43-3320,KI,193,515,3,241,0,45
SHL 32-1101,KI,114,301,2,157,0,41
SEA 37-1622,KI,150,578,16,226,0,60
BUR 33-0805,KI,166,591,7,270,0,97
SEA 36-1709,KI,129,359,1,154,0,24
COOPER,KI,153,473,3,278,1,121
SEA 36-1702,KI,312,606,8,372,0,52
SEA 36-1703,KI,257,530,11,340,0,72
SEA 36-1700,KI,174,383,3,208,0,31
DOLPHIN,KI,135,275,2,183,0,46
