Row Label,County,Yes,No
CLARKSTON #2,AS,142,114
SWALLOWS NEST,AS,255,207
WEST CLARKSTON #1,AS,175,118
WEST CLARKSTON #2,AS,145,143
WEST CLARKSTON #3,AS,216,144
ASOTIN #1,AS,121,111
ASOTIN #2,AS,126,123
SOUTH CLARKSTON #1,AS,130,142
SOUTH CLARKSTON #2,AS,181,180
W ASOTIN,AS,70,109
CLARKSTON #6,AS,152,110
CLARKSTON #7,AS,86,84
RURAL ASOTIN,AS,57,122
CLARKSTON #4,AS,154,119
Total,AS,3964,3738
ANATONE,AS,40,113
CLARKSTON #3,AS,133,106
CLARKSTON HTS #4,AS,184,138
CLARKSTON #8,AS,139,99
CLARKSTON HTS #3,AS,62,65
CLARKSTON HTS #2,AS,265,307
CLARKSTON HTS #1,AS,161,174
CLARKSTON #5,AS,112,61
CLARKSTON HTS #7,AS,202,196
CLARKSTON HTS #6,AS,271,249
CLARKSTON HTS #5,AS,270,331
CLARKSTON #1,AS,115,73
