Row Label,County,Yes,No
601 Queets,JE,16,26
704 Port Townsend,JE,227,26
101 Gardiner,JE,121,70
501 Port Ludlow I,JE,437,203
200 Coyle,JE,135,117
708 Port Townsend,JE,547,129
302 Center I,JE,134,166
702 Port Townsend,JE,245,37
306 Irondale II,JE,271,223
300 Chimacum I,JE,190,177
102 Port Discovery,JE,114,111
105 Discovery Bay,JE,377,137
305 Irondale I,JE,250,119
710 Port Townsend,JE,339,60
500 Port Ludlow,JE,405,206
106 North Jacob,JE,271,128
503 Port Ludlow III,JE,303,127
301 Chimacum II,JE,124,92
706 Port Townsend,JE,599,143
401 Nordland,JE,360,197
502 Port Ludlow II,JE,235,192
505 Port Ludlow V,JE,264,194
709 Port Townsend,JE,500,91
303 Hadlock,JE,295,211
304 Kala Point,JE,448,146
107 South Jacob,JE,329,187
201 Quilcene,JE,203,338
308 Center II,JE,107,95
705 Port Townsend,JE,234,83
204 Brinnon,JE,289,376
707 Port Townsend,JE,521,137
104 Cape George,JE,405,132
103 Crocker,JE,87,89
600 Hoh,JE,19,29
703 Port Townsend,JE,287,57
700 Port Townsend,JE,390,121
504 Port Ludlow IV,JE,182,104
Total,JE,10652,5245
701 Port Townsend,JE,202,37
307 Four Corners,JE,190,132
