Row Label,County,Yes,No
DAMMAN,KS,130,223
VANTAGE,KS,8,19
PARK,KS,83,280
TEANAWAY,KS,111,214
ELLENSBURG 20,KS,52,43
CLE ELUM 4,KS,113,149
ELLENSBURG 22,KS,81,109
ELLENSBURG 23,KS,129,101
CLE ELUM 1,KS,66,127
ELLENSBURG 25,KS,163,216
CLE ELUM 3,KS,29,41
CLE ELUM 2,KS,45,72
SOUTH CLE ELUM,KS,70,116
FAIRVIEW,KS,56,169
RONALD,KS,65,93
NORTHEAST FAIRVIEW,KS,98,264
ELLENSBURG 24,KS,200,207
ELLENSBURG 9,KS,50,49
ELLENSBURG 8,KS,52,39
RIDGEWAY,KS,207,333
ELLENSBURG 1,KS,30,22
ELLENSBURG 2,KS,62,23
ELLENSBURG 5,KS,56,40
ELLENSBURG 4,KS,43,13
ELLENSBURG 7,KS,21,35
ELLENSBURG 6,KS,43,24
EAST SANDERS,KS,110,253
THRALL,KS,95,235
ELLENSBURG 21,KS,70,67
MOUNTAIN,KS,75,76
HYAK,KS,40,64
ROSLYN 1,KS,100,89
ROSLYN 2,KS,100,59
KITTITAS 1,KS,45,96
KACHESS,KS,47,63
MANASTASH,KS,100,202
DENMARK,KS,169,332
ROSLYN OUTLYING,KS,20,36
SOUTH ELLENSBURG,KS,192,269
DRY CREEK,KS,110,309
NORTH CENTRAL,KS,99,193
ELLENSBURG 11,KS,89,56
ELLENSBURG 10,KS,89,69
ELLENSBURG 13,KS,74,35
ELLENSBURG 12,KS,93,49
ELLENSBURG 15,KS,100,79
ELLENSBURG 14,KS,93,53
ELLENSBURG 17,KS,144,88
ELLENSBURG 16,KS,141,116
ELLENSBURG 19,KS,175,149
ELLENSBURG 18,KS,23,14
WESTSIDE,KS,198,235
EASTON,KS,134,230
PEOH POINT,KS,109,229
SANDERS,KS,55,100
KITTITAS 2,KS,51,106
NORTH ELLENSBURG,KS,168,292
THORP,KS,95,234
SWAUK,KS,53,163
Total,KS,5319,7661
