Row Label,County,Yes,No
Friday Harbor North,SJ,312,200
San Juan South East,SJ,256,127
Lopez North,SJ,630,233
Total,SJ,5808,2620
Decatur and Outer Is,SJ,28,21
Shaw,SJ,73,36
San Juan West,SJ,372,181
Turn Point,SJ,166,93
San Juan South West,SJ,426,141
Orcas East,SJ,415,141
Eastsound,SJ,471,214
Blakely &amp; Outer Is,SJ,23,11
Friday Harbor South,SJ,251,125
Waldron &amp; Outer Is,SJ,52,17
Orcas Central,SJ,455,176
San Juan North,SJ,319,165
Lopez South,SJ,452,180
Orcas West,SJ,451,203
San Juan East,SJ,285,147
San Juan Central,SJ,371,209
