Row Label,County,Renea Campbell
COLUMBUS,KT,35
N DALLES,KT,280
ROOSEVELT,KT,61
GLENWOOD,KT,246
HGH PRAIRIE,KT,45
LYLE,KT,312
F VALLEY,KT,266
BINGEN,KT,94
WISHRAM,KT,70
WHITE SALMON,KT,299
ALDER CREEK,KT,136
ALDERDALE,KT,34
N WHITE SALMON,KT,180
PINE FOREST,KT,645
GOLDENDALE 3,KT,261
ORCHARD HTS,KT,202
GOLDENDALE 1,KT,373
N F VALLEY,KT,320
E LYLE,KT,103
E KLICKITAT,KT,81
W KLICKITAT,KT,65
HUSUM,KT,266
TROUT LAKE,KT,249
RIVER,KT,22
CENTERVILLE,KT,269
WOODLAND,KT,675
GOLDENDALE 2,KT,335
MT BROOK,KT,212
Total,KT,6225
APPLETON,KT,89
