Row Label,County,Bob Songer,Marc Boardman
COLUMBUS,KT,15,24
N DALLES,KT,191,173
ROOSEVELT,KT,31,35
GLENWOOD,KT,145,156
HGH PRAIRIE,KT,42,26
LYLE,KT,199,187
F VALLEY,KT,161,170
BINGEN,KT,53,76
WISHRAM,KT,38,43
WHITE SALMON,KT,183,217
ALDER CREEK,KT,97,61
ALDERDALE,KT,21,16
N WHITE SALMON,KT,129,129
PINE FOREST,KT,385,392
GOLDENDALE 3,KT,148,164
ORCHARD HTS,KT,131,120
GOLDENDALE 1,KT,215,221
N F VALLEY,KT,194,203
E LYLE,KT,67,73
E KLICKITAT,KT,57,37
W KLICKITAT,KT,47,33
HUSUM,KT,149,205
TROUT LAKE,KT,184,158
RIVER,KT,7,16
CENTERVILLE,KT,228,103
WOODLAND,KT,427,379
GOLDENDALE 2,KT,214,172
MT BROOK,KT,135,148
Total,KT,3952,3788
APPLETON,KT,59,51
