Row Label,County,Meredith R. Green
LEMOLO 435,KP,291
ANNAPOLIS 212,KP,450
MEADOWDALE 150,KP,234
BELLA VISTA 413,KP,279
LIGHTHOUSE POINT 292,KP,364
CLEAR CREEK 120,KP,322
AUGUSTA 461,KP,229
HEINS CREEK 297,KP,0
HANSVILLE 415,KP,232
TORVANGER 345,KP,456
BREMERTON 012,KP,79
BREMERTON 013,KP,284
BREMERTON 015,KP,322
BREMERTON 016,KP,81
WINSLOW 304,KP,645
HIGHLAND 423,KP,209
LAKE HELENA 214,KP,289
DICKENSON 282,KP,319
UNIVERSITY POINT 142,KP,235
SANDY HOOK 464,KP,265
BARKER CREEK 147,KP,389
BAYVIEW 087,KP,101
ISLAND CENTER 320,KP,354
EVERGREEN RIDGE 426,KP,138
REGAL 131,KP,95
COUNTRY CLUB 113,KP,205
POULSBO 405,KP,395
POULSBO 404,KP,404
POULSBO 407,KP,300
POULSBO 406,KP,451
SEDGWICK 272,KP,391
BERRY LAKE 279,KP,204
POULSBO 403,KP,327
EBBERT 247,KP,352
ILLAHEE 065,KP,385
COTTONWOOD 125,KP,312
MARION 090,KP,70
OLYMPIC 099,KP,39
GILBERTON 140,KP,291
STRIEBEL 453,KP,348
AZALEA 302,KP,453
YUKON 241,KP,245
FOREST RIDGE 126,KP,213
FAIRVIEW 135,KP,202
ANDERSON CREEK 163,KP,278
PORT GAMBLE 450,KP,351
RAINIER 067,KP,372
BRASCH 213,KP,331
GAMBLEWOOD 454,KP,238
CENTRAL VALLEY 128,KP,380
HOLLY 158,KP,105
BURLEY 218,KP,334
LUOTO 122,KP,179
POINT JEFFERSON 419,KP,260
BREMERTON 296,KP,0
MORKEN 161,KP,471
INDIANOLA 420,KP,519
TWIN LAKES 285,KP,97
BELFAIR VALLEY 280,KP,104
KARIOTIS 143,KP,347
TRACYTON 170,KP,245
ROCKY POINT 083,KP,420
HERITAGE PARK 112,KP,240
BREMERTON 294,KP,0
ORCA 421,KP,255
BREMERTON 293,KP,2
MINTERBROOK 216,KP,153
ALASKA 221,KP,412
GLENWOOD 232,KP,420
MEADOWMEER 321,KP,172
APEX 162,KP,379
OLALLA 265,KP,261
WINSTON 129,KP,144
RIDGETOP 149,KP,256
EAGLE CREST 164,KP,386
LOCKER 246,KP,413
BROWNSVILLE 105,KP,448
KINGSTON 430,KP,535
VENA 173,KP,315
CEDAR 211,KP,317
BREMERTON 041,KP,264
BREMERTON 040,KP,306
POULSBO 401,KP,481
BREMERTON 046,KP,309
CAMBRIDGE 144,KP,224
BREMERTON 056,KP,273
TWIN SPITS 417,KP,412
BIG VALLEY 441,KP,240
CHARLAND 110,KP,250
SKIFF POINT 328,KP,337
LOST HIGHWAY 157,KP,343
TRIDENT 101,KP,73
WILSON CREEK 242,KP,292
SYLVAN 066,KP,356
PORT ORCHARD 201,KP,298
EVERGREEN 257,KP,486
FERNWOOD 230,KP,387
MANCHESTER 255,KP,275
SUNNYSLOPE 281,KP,274
LOFALL 442,KP,494
BLAKELY 310,KP,352
PORT ORCHARD 207,KP,328
WOODMERE 127,KP,407
BREMERTON 058,KP,356
UELAND 082,KP,0
WATERMAN 295,KP,211
BREMERTON 054,KP,202
PIONEER 152,KP,411
SILVERDALE 160,KP,359
BREMERTON 051,KP,32
BREMERTON 052,KP,214
BREMERTON 053,KP,416
SEABECK 155,KP,447
POWERLINE 086,KP,3
PARKWOOD 270,KP,401
ISLAND LAKE 427,KP,330
