Row Label,County,Judith (Judy) Warnick,Mohammad Said
GRAVELLE(*),LI,0,0
HARRINGTON IN,LI,124,17
BLUESTEM(*),LI,0,0
DAVENPORT IN,LI,563,60
LONG LAKE,LI,69,6
S REARDAN RURAL,LI,47,2
DAVENPORT RURAL,LI,87,4
ALMIRA IN,LI,82,16
KELLER,LI,60,7
LAMONA,LI,25,2
HAWK CREEK,LI,56,17
EDWALL,LI,67,3
MOHLER,LI,52,2
EGYPT,LI,110,10
WEST LARENE,LI,38,5
SPRAGUE RURAL,LI,99,7
WHEATLAND,LI,87,4
LAYTON(*),LI,0,0
EAST LARENE,LI,80,14
GRAND COULEE,LI,28,8
REARDAN IN,LI,184,25
PEACH,LI,115,13
ENOS(*),LI,0,0
ALMIRA RURAL,LI,30,3
N REARDAN RURAL,LI,38,6
HARR RURAL,LI,51,5
LAKEVIEW,LI,103,17
SPRAGUE IN,LI,100,27
RIVERVIEW,LI,119,36
CANBY,LI,34,6
EARL,LI,30,2
WILBUR RURAL,LI,88,7
WAUKON,LI,43,4
WILBUR IN,LI,293,54
SHERMAN,LI,60,5
GOVAN(*),LI,0,0
MONDOVI,LI,69,16
DOWNS(*),LI,0,0
SPRING CREEK,LI,70,9
SEVEN BAYS,LI,52,16
CRESTON RURAL,LI,49,6
CRESTON IN,LI,67,20
ODESSA RURAL,LI,89,6
WILSON CREEK,LI,31,2
Total,LI,3857,508
IRBY(*),LI,0,0
ODESSA IN,LI,303,35
