Row Label,County,Norm Johnson,Michael S. Brumback
COLUMBUS,KT,23,14
N DALLES,KT,207,153
ROOSEVELT,KT,47,20
GLENWOOD,KT,199,84
HGH PRAIRIE,KT,36,36
LYLE,KT,230,159
F VALLEY,KT,188,158
BINGEN,KT,64,67
WISHRAM,KT,41,43
WHITE SALMON,KT,217,210
ALDER CREEK,KT,101,60
ALDERDALE,KT,24,15
N WHITE SALMON,KT,128,117
PINE FOREST,KT,433,309
GOLDENDALE 3,KT,180,115
ORCHARD HTS,KT,145,96
GOLDENDALE 1,KT,246,149
N F VALLEY,KT,224,181
E LYLE,KT,74,70
E KLICKITAT,KT,46,39
W KLICKITAT,KT,49,30
HUSUM,KT,187,166
TROUT LAKE,KT,179,147
RIVER,KT,9,14
CENTERVILLE,KT,219,99
WOODLAND,KT,475,280
GOLDENDALE 2,KT,243,131
MT BROOK,KT,157,124
Total,KT,4435,3131
APPLETON,KT,64,45
