Row Label,County,Gina R. McCabe,Paul George
NORTH BONNEVILLE,SM,184,129
STABLER,SM,187,87
UNDERWOOD SOUTH,SM,89,91
WIND RIVER,SM,130,57
CAPE HORN,SM,132,79
SKAMANIA,SM,163,100
ROCK CREEK,SM,87,49
CARSON CREEK,SM,147,71
SOUTH STEVENSON,SM,29,25
SKYE,SM,109,72
HOT SPRINGS SOUTH,SM,101,47
NORTH STEVENSON,SM,95,77
CHENOWITH,SM,94,58
MT. PLEASANT,SM,102,59
BEAR PRAIRIE,SM,123,34
CASCADES,SM,7,2
NELSON CREEK,SM,58,40
HOT SPRINGS NORTH,SM,63,23
LEWIS RIVER,SM,7,9
UNDERWOOD NORTH,SM,133,83
UPPER WASHOUGAL,SM,127,61
WIND MOUNTAIN,SM,73,46
MAPLE VIEW,SM,127,120
Total,SM,2367,1419
