Row Label,County,Gina R. McCabe,Paul George
0134,YA,517,265
0113,YA,81,104
0110,YA,133,93
0116,YA,269,183
0131,YA,190,115
0132,YA,208,109
0133,YA,353,265
0170,YA,212,130
0118,YA,78,73
0173,YA,205,99
0138,YA,392,222
0139,YA,347,174
0177,YA,397,126
4101,YA,127,40
3004,YA,11,6
4102,YA,314,81
4104,YA,217,71
3308,YA,320,67
3309,YA,150,99
0130,YA,168,83
3305,YA,276,80
4625(*),YA,0,0
1301,YA,163,58
0185,YA,370,121
0184,YA,237,110
0187,YA,314,125
0186,YA,404,169
0181,YA,375,146
0180,YA,230,51
0183,YA,329,99
0182,YA,503,207
4001,YA,74,44
0189,YA,240,89
0188,YA,428,120
3102,YA,202,110
4626,YA,10,6
0142,YA,303,167
5012,YA,174,117
5020,YA,215,47
1901,YA,82,49
0127,YA,172,128
0126,YA,62,92
0169,YA,386,178
0168,YA,374,157
3605,YA,557,147
0120,YA,98,119
0163,YA,392,115
0167,YA,402,158
0101,YA,80,91
3205,YA,418,130
0129,YA,101,90
5003,YA,295,59
4114,YA,112,24
4115,YA,185,50
4503,YA,34,9
4609,YA,155,36
3310,YA,165,111
3313,YA,126,23
3701,YA,192,82
0701,YA,50,37
4601,YA,162,35
4801,YA,521,120
0179,YA,352,127
3204,YA,47,11
3203,YA,418,91
5010,YA,97,26
4623(*),YA,0,0
3208,YA,49,17
3904,YA,111,30
0154,YA,271,130
3905,YA,90,30
0153,YA,244,114
4627,YA,96,26
0190,YA,185,76
Total,YA,16959,7074
5014,YA,293,79
