Row Label,County,Maureen S. Walsh,Mary Ruth Edwards
Ridge,BE,0,0
Kiona,BE,165,252
Ivey,BE,108,88
Crow Butte,BE,18,16
450,BE,126,167
Cherry,BE,123,164
311,BE,0,0
Oak,BE,74,65
Rattlesnake,BE,16,42
South,BE,106,115
Randy,BE,68,49
Bobbie,BE,0,0
Paterson,BE,9,11
Riverside,BE,109,186
Kennewick Valley,BE,145,116
Chandler,BE,21,18
Buena Vista,BE,169,255
Wheat,BE,0,0
El Rancho,BE,225,211
Hedges,BE,117,99
Walnut Grove,BE,63,114
Benton South,BE,119,119
Yakima(*),BE,0,0
Salmon,BE,29,28
Canyon,BE,155,120
French,BE,15,21
Finley,BE,216,182
Legion,BE,125,144
Prosser North,BE,111,159
Carley(*),BE,0,0
Cook,BE,13,3
Vineyard(*),BE,0,0
White Bluffs,BE,165,208
Black Rock(*),BE,0,0
Pearson,BE,3,2
465,BE,141,150
Apricot,BE,32,31
Benton East,BE,0,0
Horse Heaven,BE,22,16
460,BE,135,116
455,BE,123,123
Reata,BE,134,89
Cascade,BE,144,88
Expansion(*),BE,0,0
Goose Ridge,BE,29,38
Reese,BE,8,31
Susie,BE,16,17
McBee(*),BE,0,0
Red Mountain,BE,114,133
Dot,BE,53,74
Ida,BE,0,0
Benton North,BE,158,190
Jewel,BE,19,17
Tumble Weed,BE,16,40
(none),BE,128,131
Washington,BE,54,44
Roe,BE,6,11
Sacagawea(*),BE,0,0
Mills,BE,172,168
470,BE,94,114
W3-P511,BE,11,8
Celilo,BE,160,168
Cone,BE,101,67
Roza,BE,0,0
Demoss,BE,7,10
Edgewater,BE,92,123
Onion(*),BE,0,0
Total,BE,4697,5085
Badger,BE,110,122
