Row Label,County,Maureen S. Walsh,Mary Ruth Edwards
Yellowhawk 58,WL,32,12
CP 3 63,WL,280,195
Touchet 5 56(*),WL,0,0
Spruce 24,WL,139,66
Birch 05,WL,171,78
Baumeister 04,WL,276,110
Jefferson 13,WL,393,176
Ice Harbor 34,WL,236,179
Alder 02,WL,102,68
Waitsburg 65,WL,324,140
Lincoln 49,WL,44,25
CP 1 61,WL,310,168
Watertown 29,WL,172,93
Frenchtown 4 45,WL,24,19
Ritz 53,WL,340,204
CP 2 62,WL,193,159
Frenchtown 5 44,WL,91,106
Alderbrook 01,WL,126,101
Baker 33,WL,61,39
Edison 08,WL,169,92
Pine 21,WL,90,74
Mill Creek 50,WL,139,112
Sharpstein 23,WL,172,78
Gose 47,WL,63,38
CP 5 67,WL,273,145
Henderson 11,WL,158,115
Burbank 38,WL,259,200
Garfield 09,WL,193,108
Washington 60,WL,99,49
Garrison 46,WL,126,103
Berney 35,WL,184,96
Isaacs 12,WL,141,53
Paine 20,WL,100,44
Pleasant 22,WL,342,167
Wallula 59,WL,21,17
Monroe 18,WL,445,195
Ash 03,WL,245,166
Dixie 41,WL,134,127
Touchet 4 55,WL,168,144
CP 6 68,WL,36,30
Eureka 4 43(*),WL,0,0
Blalock 36,WL,270,181
Stadium 25,WL,173,63
Clyde 39,WL,14,18
CP 4 66,WL,356,181
Pros Point 52,WL,594,336
Wainwright 28,WL,272,162
Moore 51,WL,174,62
Derry 40,WL,99,56
Eureka 5 42(*),WL,0,0
College 07,WL,225,44
Prescott 64,WL,48,36
Green Park 10,WL,172,31
Twin Grove 57,WL,157,90
Tausick 26,WL,170,93
Marcus 17,WL,425,243
Braden 37,WL,322,195
McNary 54,WL,136,111
Maple 16,WL,401,157
Total,WL,11269,6315
Abbott 31,WL,222,98
Clark 06,WL,134,47
