Row Label,County,Dean Takko,David A. Steenson
Aberdeen 111,GY,372,156
Aberdeen 131,GY,464,167
Lois Lane 082,GY,67,43
Montesano 603,GY,0,0
Ocosta 092,GY,0,0
Johns River 094,GY,192,68
Melbourne 072,GY,185,113
Grayland 096,GY,179,108
Blockhouse 068,GY,159,117
Oakville 701,GY,60,79
Cohasset 098,GY,112,61
Chehalis 066,GY,4,2
Delezenne 070,GY,179,140
Westport 901,GY,351,173
Montesano 601,GY,454,187
Sierra 086(*),GY,0,0
Cosmopolis 201,GY,392,112
Aberdeen 121,GY,340,136
Lund 088,GY,46,21
Aberdeen 141,GY,395,120
Blue Slough 084(*),GY,0,0
Aberdeen 142,GY,276,134
Devonshire 074,GY,184,63
Aberdeen 161,GY,351,132
Vesta 076,GY,39,26
Artic 078,GY,32,26
Montesano 602,GY,428,192
Aberdeen 151,GY,206,102
Central Park 080,GY,386,151
Newskah 090,GY,13,4
Total,GY,5987,2692
