Row Label,County,J.T. Wilcox,Steven Nielson
02-154,PI,324,107
02-150,PI,338,113
02-149,PI,446,137
02-106,PI,438,130
02-159,PI,224,89
02-158,PI,313,136
02-138,PI,458,162
02-148,PI,433,110
02-120,PI,253,115
02-121,PI,311,149
02-122,PI,300,150
02-123,PI,377,113
02-124,PI,257,124
02-125,PI,255,115
02-126,PI,330,148
02-127,PI,195,66
02-128,PI,319,148
02-129,PI,210,75
02-140,PI,433,123
02-141,PI,419,123
02-146,PI,298,105
02-147,PI,306,95
02-144,PI,353,111
02-145,PI,398,127
02-139,PI,382,105
02-152,PI,458,119
02-101,PI,126,42
02-142,PI,289,114
02-143,PI,294,81
02-157,PI,503,140
02-153,PI,350,108
02-134,PI,409,138
02-155,PI,428,110
02-133,PI,68,48
02-151,PI,133,47
02-156,PI,525,145
02-118,PI,213,101
02-115,PI,267,122
02-114,PI,203,69
02-117,PI,331,135
02-116,PI,382,119
02-111,PI,279,119
02-110,PI,189,87
02-113,PI,233,89
02-112,PI,196,99
02-137,PI,211,65
02-136,PI,69,27
02-135,PI,435,133
Total,PI,15871,5587
02-119,PI,205,78
02-105,PI,137,55
02-131,PI,409,141
02-130,PI,159,80
