Row Label,County,Ed Orcutt,John Morgan
Modrow,CZ,299,89
Ostrander,CZ,327,130
Woodland South,CZ,357,152
Tunstall,CZ,143,37
Brynion,CZ,220,101
Powell,CZ,310,91
Cloverdale,CZ,284,64
Woodland North,CZ,463,153
Owl Creek,CZ,405,167
Harris,CZ,267,119
Toutle,CZ,368,149
Woodage,CZ,255,92
Rose Valley,CZ,235,76
Silver Lake,CZ,506,196
Kalama North,CZ,262,69
Yale,CZ,249,102
Chinook,CZ,364,143
Kalama South,CZ,323,115
Caples,CZ,155,46
Tower,CZ,410,195
Lewis River,CZ,455,192
Castle Rock,CZ,371,146
Carrolls,CZ,332,106
Total,CZ,7360,2730
