Row Label,County,Larry Seaquist,Michelle Caldier
PORT ORCHARD 202,KP,293,247
NAVY YARD CITY 095,KP,237,199
PORT ORCHARD 200,KP,115,117
PORT ORCHARD 201,KP,243,185
PORT ORCHARD 207,KP,219,222
PORT ORCHARD 204,KP,215,202
PORT ORCHARD 203,KP,130,117
CONIFER 271,KP,126,142
YUKON 241,KP,201,198
LOCKER 246,KP,304,366
WILSON CREEK 242,KP,224,228
LIGHTHOUSE POINT 292,KP,256,290
MANCHESTER 255,KP,241,182
LUNDBERG 250,KP,253,243
BRASCH 213,KP,213,305
EBBERT 247,KP,278,265
BREMERTON 015,KP,251,197
BREMERTON 016,KP,63,42
WATERMAN 295,KP,154,178
CEDAR 211,KP,225,227
OVERLOOK 267,KP,250,154
PORT ORCHARD 205,KP,450,550
BREMERTON 051,KP,21,23
EVERGREEN 257,KP,324,369
PARKWOOD 270,KP,286,266
SPRING CREEK 217,KP,161,213
CRESCENT VALLEY 266,KP,250,277
WHISPERING PINES 227,KP,207,309
FRAGARIA 259,KP,244,242
SEDGWICK 272,KP,262,289
BANDIX 263,KP,250,342
PORT ORCHARD 210,KP,132,185
BREMERTON 296,KP,0,0
HARPER 240,KP,274,190
WILLOCK 258,KP,191,256
GLENWOOD 232,KP,244,403
MULLENIX 260,KP,262,317
OLALLA 265,KP,201,213
BERRY LAKE 279,KP,156,172
CONVERSE 252,KP,201,231
BREMERTON 006,KP,183,88
BREMERTON 005,KP,184,97
WOODRIDGE 222,KP,111,177
BREMERTON 003,KP,239,162
BREMERTON 002,KP,120,79
BREMERTON 001,KP,170,79
SHERMAN HEIGHTS 278,KP,9,9
MADRONA 269,KP,197,156
BREMERTON 022,KP,194,127
NEBRASKA 223,KP,225,233
BURLEY 218,KP,262,295
ANNAPOLIS 212,KP,340,317
LONG LAKE 245,KP,173,181
MARION 090,KP,51,34
ALASKA 221,KP,342,279
Total,KP,11407,11466
