Row Label,County,Laurie Jinkins,Rodger Deskins
27-408,PI,390,205
27-409,PI,357,203
27-477,PI,227,321
27-428,PI,405,80
27-429,PI,390,133
27-426,PI,387,150
27-401,PI,207,88
27-424,PI,449,153
27-425,PI,438,123
27-422,PI,524,211
27-405,PI,417,219
27-420,PI,532,161
27-407,PI,395,176
27-468,PI,249,178
27-458,PI,204,102
27-476,PI,254,138
27-434,PI,317,173
27-462,PI,305,257
27-466,PI,257,193
27-459,PI,188,92
27-417,PI,479,161
27-416,PI,436,188
27-415,PI,450,209
27-414,PI,484,159
27-413,PI,416,169
27-412,PI,339,193
27-411,PI,483,265
27-410,PI,417,173
27-453,PI,203,110
27-452,PI,284,159
27-451,PI,264,142
27-450,PI,352,155
27-457,PI,279,129
27-456,PI,239,102
27-419,PI,425,184
27-418,PI,427,145
27-427,PI,401,133
27-467,PI,252,219
27-439,PI,377,96
27-438,PI,372,79
27-435,PI,373,183
27-404,PI,156,37
27-437,PI,345,115
27-436,PI,377,132
27-431,PI,134,85
27-430,PI,387,149
27-432,PI,338,195
27-423,PI,516,163
27-406,PI,510,295
27-433,PI,372,167
27-421,PI,369,123
27-454,PI,340,160
27-447,PI,287,154
27-471,PI,11,6
27-475,PI,276,213
27-455,PI,250,137
27-463,PI,232,198
27-460,PI,330,252
27-461,PI,340,298
27-448,PI,9,10
27-449,PI,329,169
27-464,PI,279,208
27-465,PI,215,224
27-444,PI,291,146
27-445,PI,275,148
27-446,PI,272,142
Total,PI,23027,11110
27-440,PI,404,90
27-441,PI,306,114
27-442,PI,215,123
27-443,PI,218,148
