Row Label,County,Jake Fey,Steven T. Cook
27-408,PI,371,225
27-409,PI,347,209
27-477,PI,230,316
27-428,PI,392,88
27-429,PI,375,153
27-426,PI,385,151
27-401,PI,205,87
27-424,PI,448,149
27-425,PI,444,116
27-422,PI,537,198
27-405,PI,418,211
27-420,PI,537,156
27-407,PI,395,174
27-468,PI,249,180
27-458,PI,200,107
27-476,PI,254,139
27-434,PI,320,169
27-462,PI,329,251
27-466,PI,255,197
27-459,PI,184,96
27-417,PI,491,150
27-416,PI,436,185
27-415,PI,451,211
27-414,PI,481,161
27-413,PI,408,174
27-412,PI,341,189
27-411,PI,490,252
27-410,PI,416,171
27-453,PI,199,105
27-452,PI,282,161
27-451,PI,262,140
27-450,PI,339,159
27-457,PI,277,129
27-456,PI,236,108
27-419,PI,440,166
27-418,PI,409,153
27-427,PI,413,123
27-467,PI,254,218
27-439,PI,366,101
27-438,PI,366,81
27-435,PI,366,187
27-404,PI,157,37
27-437,PI,336,121
27-436,PI,372,140
27-431,PI,138,81
27-430,PI,388,149
27-432,PI,322,210
27-423,PI,526,152
27-406,PI,507,290
27-433,PI,376,159
27-421,PI,371,123
27-454,PI,313,184
27-447,PI,296,144
27-471,PI,11,6
27-475,PI,286,205
27-455,PI,252,142
27-463,PI,240,191
27-460,PI,335,248
27-461,PI,353,288
27-448,PI,9,10
27-449,PI,324,172
27-464,PI,302,195
27-465,PI,228,211
27-444,PI,294,145
27-445,PI,271,153
27-446,PI,258,159
Total,PI,22992,11091
27-440,PI,396,96
27-441,PI,311,109
27-442,PI,211,125
27-443,PI,211,150
