Row Label,County,Richard (Dick) Muri,Mary Moss
28-590,PI,14,3
28-552,PI,363,296
28-574(*),PI,0,0
28-551,PI,459,275
28-555,PI,394,319
28-589,PI,365,156
28-554,PI,445,185
28-565,PI,295,173
28-566,PI,317,163
28-567,PI,350,189
28-560,PI,497,232
28-557,PI,264,221
28-562,PI,199,120
28-563,PI,93,80
28-586,PI,276,171
28-587,PI,218,114
28-584,PI,212,118
28-545,PI,353,219
28-568,PI,372,183
28-583,PI,201,125
28-580,PI,66,26
28-581,PI,163,130
28-506,PI,300,354
28-507,PI,202,301
28-504,PI,330,289
28-505,PI,395,333
28-502,PI,278,375
28-503,PI,275,357
28-526,PI,291,182
28-501,PI,320,343
28-528,PI,367,290
28-529,PI,300,227
28-540,PI,476,270
28-541,PI,343,221
28-546,PI,346,214
28-547,PI,403,321
28-508,PI,125,142
28-509,PI,0,0
28-585,PI,360,195
28-550,PI,264,180
28-548,PI,288,216
28-520,PI,261,334
28-575(*),PI,0,0
28-521,PI,363,313
28-588,PI,369,170
28-582,PI,112,85
28-522,PI,392,290
28-573,PI,172,155
28-572,PI,271,197
28-571,PI,7,5
28-523,PI,440,237
28-577,PI,12,5
28-576,PI,390,187
28-556,PI,258,236
28-524,PI,406,323
28-579,PI,44,28
28-578,PI,73,35
28-549,PI,370,212
28-559,PI,363,180
28-525,PI,423,301
28-515,PI,434,314
28-558,PI,257,196
28-517,PI,360,317
28-516,PI,383,278
28-538,PI,265,256
28-537,PI,365,312
28-536,PI,391,271
28-535,PI,345,353
28-527,PI,431,306
28-519,PI,350,298
28-518,PI,282,325
28-531,PI,324,249
28-530,PI,128,148
28-542,PI,394,227
28-570,PI,4,5
28-543,PI,318,181
Total,PI,22022,16066
28-553,PI,378,263
28-561,PI,234,138
