Row Label,County,Christine Kilduff,Paul Wagemann
28-590,PI,3,14
28-552,PI,355,305
28-574(*),PI,0,0
28-551,PI,320,406
28-555,PI,369,332
28-589,PI,168,358
28-554,PI,233,383
28-565,PI,202,258
28-566,PI,198,282
28-567,PI,225,307
28-560,PI,277,448
28-557,PI,247,237
28-562,PI,133,185
28-563,PI,83,87
28-586,PI,191,259
28-587,PI,132,196
28-584,PI,116,211
28-545,PI,285,286
28-568,PI,243,307
28-583,PI,137,184
28-580,PI,33,60
28-581,PI,139,147
28-506,PI,413,243
28-507,PI,327,178
28-504,PI,355,272
28-505,PI,404,327
28-502,PI,434,215
28-503,PI,398,236
28-526,PI,241,239
28-501,PI,390,276
28-528,PI,355,302
28-529,PI,270,264
28-540,PI,360,374
28-541,PI,278,284
28-546,PI,242,309
28-547,PI,366,349
28-508,PI,154,111
28-509,PI,0,0
28-585,PI,204,342
28-550,PI,225,216
28-548,PI,260,239
28-520,PI,385,220
28-575(*),PI,0,0
28-521,PI,388,298
28-588,PI,182,354
28-582,PI,92,107
28-522,PI,372,309
28-573,PI,192,127
28-572,PI,258,207
28-571,PI,7,5
28-523,PI,324,362
28-577,PI,6,11
28-576,PI,259,311
28-556,PI,254,242
28-524,PI,398,337
28-579,PI,34,38
28-578,PI,38,69
28-549,PI,269,306
28-559,PI,213,324
28-525,PI,384,346
28-515,PI,397,352
28-558,PI,201,256
28-517,PI,360,322
28-516,PI,335,327
28-538,PI,311,209
28-537,PI,360,315
28-536,PI,346,320
28-535,PI,409,285
28-527,PI,398,333
28-519,PI,365,290
28-518,PI,364,243
28-531,PI,293,282
28-530,PI,165,113
28-542,PI,293,316
28-570,PI,6,3
28-543,PI,221,279
Total,PI,19129,18860
28-553,PI,296,332
28-561,PI,158,212
