Row Label,County,Kathy Haigh,Dan Griffey
BELFAIR,MA,216,265
MILL CREEK,MA,362,348
HARSTINE,MA,413,374
DAYTON,MA,229,219
DOWNTOWN,MA,255,193
AIRPORT,MA,373,372
MATLOCK,MA,242,280
AGATE,MA,294,262
JOHN&#39;S PRAIRIE,MA,188,237
OLYMPIC VIEW,MA,337,309
ISABELLA,MA,159,189
CUSHMAN,MA,340,305
MASON LAKE,MA,235,263
SAND HILL,MA,252,330
KAMILCHE POINT,MA,201,109
HILLCREST,MA,195,176
EELLS,MA,106,111
BORDEAUX,MA,48,39
ANGLESIDE,MA,287,284
ARCADIA,MA,368,308
HOOD CANAL,MA,321,345
UNION,MA,450,441
LIMERICK,MA,411,381
FAWN LAKE,MA,366,294
TIGER LAKE,MA,130,189
PICKERING,MA,234,289
CALLANAN,MA,13,9
KAMILCHE,MA,107,135
VICTOR,MA,163,274
TWANOH,MA,200,169
OAKLAND BAY,MA,200,269
TAHUYA,MA,261,306
ALLYN,MA,447,575
DEWATTO,MA,311,329
TIMBERLAKE,MA,349,320
GRAPEVIEW,MA,354,356
FAIR HARBOR,MA,200,239
TRAIL&#39;S END,MA,291,326
SKOKOMISH,MA,87,26
Total,MA,9995,10245
