Row Label,County,Kathy Haigh,Dan Griffey
Griffin,TH,198,148
Scott Lake South,TH,127,130
Delphi,TH,178,164
Evergreen Shores,TH,172,124
Black River,TH,231,280
Gallagher Cove,TH,328,220
Frye Cove,TH,268,154
Scheller,TH,86,78
Black Lake,TH,242,236
Mud Bay,TH,215,122
Mclane,TH,153,124
Greenridge,TH,121,99
Steamboat Island,TH,188,101
Tilley,TH,185,208
Littlerock,TH,257,314
Indian Summer,TH,209,206
Hunter Point,TH,127,107
Violet Prairie,TH,160,267
Schneiders Prairie,TH,155,137
Munn Lake,TH,105,113
Alpine,TH,352,238
Hays,TH,130,132
Hewitt Lake,TH,289,163
Salmon Creek,TH,86,123
Wards,TH,109,44
South Union,TH,237,229
Lakeside,TH,90,90
Trails End,TH,324,307
Chambers,TH,246,306
Delridge,TH,49,51
Tumwater 29,TH,0,0
Beaver Creek,TH,257,371
Sweet Briar,TH,292,191
Waddell Creek,TH,159,141
Wilderness,TH,278,198
Prine,TH,33,35
East Olympia,TH,157,164
Scott Lake North,TH,83,80
Camelot,TH,116,122
Henness,TH,199,389
Summit Lake,TH,146,165
Total,TH,7579,7031
Oyster Bay,TH,242,160
