Row Label,County,Hans Dunshee,Rob Toyer
LAKE STEVENS 17,SN,144,166
MISTY,SN,171,160
LAKE STEVENS 15,SN,211,172
LAKE STEVENS 14,SN,125,153
LAKE STEVENS 13,SN,156,121
LAKE STEVENS 12,SN,137,103
LAKE STEVENS 11,SN,109,86
LAKE STEVENS 10,SN,140,171
SLIVER(*),SN,0,0
LAKE STEVENS 19,SN,138,189
LAKE STEVENS 18,SN,129,144
MILL CREEK 14,SN,7,5
PUGET PARK,SN,158,112
SPRUCE,SN,88,100
RAILROAD,SN,87,131
DOUGLAS FIRS,SN,142,118
SOUTH SNOHOMISH,SN,126,133
MEADOW,SN,122,144
MARYSVILLE 34,SN,117,130
WELANGDON,SN,6,14
RIDGEWAY,SN,101,96
VALMONT,SN,89,89
DUBUQUE,SN,131,169
MILL CREEK 11,SN,121,126
MARYSVILLE 24,SN,126,134
MARYSVILLE 23,SN,204,213
LARIMER,SN,138,144
MARYSVILLE 21,SN,202,261
MORNING RISE,SN,163,123
LUDWIG,SN,132,149
RIVERCREST,SN,109,108
FIR,SN,155,144
SILVER FIRS,SN,226,155
MILL CREEK 18,SN,169,113
CASSIDY,SN,121,176
WOODRIDGE,SN,221,171
THOMAS CREEK,SN,158,125
MILL CREEK 15,SN,173,157
MILL CREEK 16,SN,122,97
MILL CREEK 17,SN,189,136
MILL CREEK 10,SN,145,98
SNOHOMISH 10,SN,54,91
MILL CREEK 12,SN,124,167
MILL CREEK 13,SN,146,130
STITCH,SN,52,43
WINDROSE,SN,236,160
SNOHOMISH  2,SN,133,111
SNOHOMISH  3,SN,185,110
MILL CREEK  1,SN,222,174
SNOHOMISH  1,SN,188,169
SNOHOMISH  6,SN,112,124
SNOHOMISH  7,SN,186,132
SNOHOMISH  4,SN,160,137
SNOHOMISH  5,SN,243,178
HEARTHSTONE,SN,138,100
SNOHOMISH  8,SN,218,195
SNOHOMISH  9,SN,99,99
LANTERN(*),SN,0,0
GREENWOOD,SN,161,160
MARYSVILLE 55,SN,98,118
SUNNYSIDE,SN,39,65
TOWER,SN,183,107
LAKE STEVENS  4,SN,143,133
LAKE STEVENS  5,SN,124,131
KENWOOD,SN,168,110
LAKE STEVENS  7,SN,175,195
LAKE STEVENS  1,SN,194,215
LAKE STEVENS  2,SN,144,153
LAKE STEVENS  3,SN,199,188
LAKE STEVENS  8,SN,132,166
LAKE STEVENS  9,SN,129,117
MILL CREEK  3,SN,121,90
MILL CREEK  2,SN,127,155
KENSINGTON,SN,87,71
MARYSVILLE 22,SN,191,211
MERWIN,SN,94,125
HILL,SN,137,123
RIVERVIEW,SN,182,160
MILL CREEK  7,SN,13,12
RUGGS LAKE,SN,197,146
MILL CREEK  6,SN,185,224
MILL CREEK  5,SN,230,211
MILL CREEK  4,SN,136,122
PANTHER CREEK,SN,154,155
GRAND FIRS,SN,216,199
MACHIAS,SN,209,255
MILL CREEK  9,SN,194,135
MILL CREEK  8,SN,224,177
FIRGROVE,SN,121,88
JORDAN,SN,263,188
WINDSONG,SN,157,114
HAINES,SN,154,186
MARYSVILLE 31,SN,198,248
HILTONS LAKE,SN,162,165
TUCKER,SN,196,131
FERNWOOD,SN,154,128
KNOX,SN,12,6
HOLIDAY,SN,85,59
LAKE STEVENS 16,SN,105,118
LAKE STEVENS 28,SN,156,132
LAKE STEVENS 26,SN,85,74
LAKE STEVENS 27,SN,84,73
LAKE STEVENS 24,SN,123,101
LAKE STEVENS 25,SN,44,56
LAKE STEVENS 22,SN,146,99
LAKE STEVENS 23,SN,96,125
LAKE STEVENS 20,SN,149,142
LAKE STEVENS 21,SN,187,186
KATTENHORN,SN,251,199
FIRCREST,SN,109,99
PIONEER TRAILS,SN,170,137
CREEKSIDE,SN,142,91
PELLERIN,SN,147,135
MARSH,SN,175,200
CENTENNIAL,SN,233,211
MARKS,SN,161,165
EASTMONT,SN,159,82
PETERSON,SN,220,176
VILLE,SN,63,72
EBEY,SN,14,24
GLEN ACRES(*),SN,0,0
LAKE STEVENS  6,SN,157,165
OLYMPUS,SN,136,116
PINEWOOD,SN,163,125
DOGWOOD,SN,153,103
TRAIL,SN,73,86
PEAK,SN,6,8
PENNANT,SN,211,192
MARYSVILLE  5,SN,194,193
HILLSIDE,SN,52,78
GLENWOOD,SN,100,114
SEATTLE HILL,SN,129,133
MILL CREEK 21,SN,106,59
MILL CREEK 20,SN,129,131
MILL CREEK 22,SN,118,84
MARYSVILLE 30,SN,146,200
OVERLOOK,SN,206,176
DUMAS,SN,150,141
FOUR CORNERS,SN,187,128
OAKS,SN,178,177
BERKSHIRE,SN,222,191
OHLDE,SN,135,191
BROOK,SN,231,152
SILVER LAKE,SN,158,109
MARION,SN,127,135
SOUTH LAKE STEVENS,SN,159,167
POINTE,SN,26,24
SEXTON,SN,198,195
WHALEBACK,SN,12,11
HAVEN,SN,195,157
STRAWBERRY,SN,181,140
MARYSVILLE 19,SN,119,145
MARYSVILLE 14,SN,176,230
MARYSVILLE 12,SN,174,157
Total,SN,22681,21068
MARYSVILLE 16,SN,155,207
OSBORN,SN,143,126
SUNRISE,SN,180,99
MILL CREEK 19,SN,219,190
