Row Label,County,Michael Baumgartner,Rich Cowan
PCT 6210,SP,356,295
PCT 6500,SP,82,30
PCT 6109,SP,153,111
PCT 6100,SP,165,129
PCT 6101,SP,255,159
PCT 6102,SP,249,176
PCT 6103,SP,93,83
PCT 6104,SP,151,176
PCT 6105,SP,199,188
PCT 6106,SP,284,280
PCT 6107,SP,174,154
PCT 6108,SP,170,183
PCT 6211,SP,202,214
PCT 6212,SP,163,155
PCT 6213,SP,306,300
PCT 6214,SP,241,243
PCT 6215,SP,275,356
PCT 6216,SP,281,263
PCT 6217,SP,286,313
PCT 6030,SP,454,250
PCT 6031,SP,237,144
PCT 6032,SP,251,66
PCT 6033,SP,532,223
PCT 6225,SP,329,273
PCT 6035,SP,198,119
PCT 6209,SP,211,293
PCT 6208,SP,278,371
PCT 6203,SP,204,464
PCT 6202,SP,247,282
PCT 6201,SP,250,213
PCT 6200,SP,303,332
PCT 6207,SP,387,280
PCT 6206,SP,260,411
PCT 6205,SP,236,428
PCT 6204,SP,267,506
PCT 6602,SP,313,163
PCT 6601,SP,296,103
PCT 6600,SP,255,200
PCT 6704,SP,251,207
PCT 6702,SP,169,161
PCT 6703,SP,185,246
PCT 6700,SP,232,197
PCT 6701,SP,209,235
PCT 6221,SP,403,295
PCT 6220,SP,388,229
PCT 6223,SP,385,269
PCT 6222,SP,346,116
PCT 6034,SP,405,158
PCT 6224,SP,266,264
PCT 6036,SP,209,111
PCT 6037,SP,206,81
PCT 6302,SP,223,144
PCT 6303,SP,445,300
PCT 6300,SP,508,301
PCT 6301,SP,514,261
PCT 6306,SP,349,156
PCT 6307,SP,194,87
PCT 6304,SP,435,261
PCT 6305,SP,238,108
PCT 6308,SP,189,123
PCT 6309,SP,334,203
PCT 6400,SP,230,130
PCT 6023,SP,213,86
PCT 6022,SP,317,208
PCT 6021,SP,283,196
PCT 6020,SP,395,370
PCT 6027,SP,295,196
PCT 6026,SP,465,259
PCT 6025,SP,227,152
PCT 6024,SP,207,113
PCT 6029,SP,328,157
PCT 6028,SP,253,151
PCT 6315,SP,161,152
PCT 6314,SP,275,207
PCT 6317,SP,220,176
PCT 6316,SP,138,115
PCT 6311,SP,256,188
PCT 6310,SP,237,216
PCT 6313,SP,273,273
PCT 6312,SP,269,172
PCT 6401,SP,132,81
PCT 6318,SP,278,157
PCT 6402,SP,276,162
PCT 6016,SP,218,109
PCT 6017,SP,512,327
PCT 6014,SP,189,90
PCT 6015,SP,169,131
PCT 6012,SP,203,100
PCT 6013,SP,237,132
PCT 6010,SP,49,17
PCT 6011,SP,288,110
PCT 6018,SP,430,263
PCT 6019,SP,392,302
PCT 6009,SP,207,184
PCT 6008,SP,235,163
PCT 6001,SP,286,197
PCT 6000,SP,260,112
PCT 6003,SP,413,165
PCT 6002,SP,95,45
PCT 6005,SP,270,179
PCT 6004,SP,226,142
PCT 6007,SP,263,189
PCT 6006,SP,308,183
PCT 6218,SP,311,204
PCT 6219,SP,344,246
Total,SP,28309,20949
