Row Label,County,Brian Dansel,Tony Booth
JENNINGS LOOP,OK,19,5
TUNK CREEK,OK,62,15
NORTH TONASKET,OK,54,16
GREENACRES,OK,26,7
OMAK #21,OK,21,8
BUCKHORN MTN,OK,42,10
OMAK #23,OK,15,8
OMAK #22,OK,29,12
OMAK #24,OK,24,12
ELMWAY,OK,24,10
WEST RIVER,OK,24,11
TEAL LAKE,OK,24,12
NICHOLS,OK,26,2
OMAK RIVER,OK,42,8
AENEAS CREEK,OK,31,27
OMAK #19,OK,24,8
PINE CONE,OK,20,15
ASTON,OK,24,10
WHISKY MTN,OK,12,4
LIME BELT,OK,18,9
ELLISFORDE,OK,52,15
AENEAS LAKE,OK,54,16
OMAK #6,OK,30,15
OMAK #7,OK,31,8
OMAK #4,OK,25,10
OMAK #5,OK,37,11
OMAK #2,OK,35,9
OMAK #3,OK,14,7
OMAK #1,OK,20,6
OMAK #8,OK,10,10
ANTOINE PEAK,OK,15,12
OKANOGAN #2,OK,34,18
OKANOGAN #3,OK,16,4
OKANOGAN #1,OK,29,6
OKANOGAN #6,OK,38,12
OKANOGAN #7,OK,19,4
OKANOGAN #4,OK,35,14
BONAPARTE,OK,27,7
OKANOGAN #8,OK,24,12
OKANOGAN #9,OK,31,16
KIPLING,OK,30,10
LONGANECKER,OK,23,6
NORTH OMAK,OK,27,5
PALMER LAKE,OK,31,16
OMAK #10,OK,39,8
MOLSON,OK,45,17
YARNELL,OK,19,8
HAVILLAH,OK,60,9
WHITESTONE,OK,35,7
CHEWILIKEN,OK,18,10
MYERS CREEK,OK,16,5
OMAK #20,OK,42,11
PINE CREEK,OK,32,8
ANTOINE CREEK,OK,24,13
CHESAW,OK,35,11
CAYUSE MTN,OK,22,5
SOURDOUGH,OK,53,13
HIGHWAY,OK,17,6
SOUTH OROVILLE,OK,51,13
SIMILKAMEEN,OK,23,9
CAPE LABELLE,OK,24,6
BLUE LAKE,OK,39,12
BOUNDARY,OK,33,15
OMAK #9,OK,44,19
OROVILLE #10,OK,30,14
LAKE ANDREWS,OK,36,8
ENGH,OK,48,12
RIVERSIDE RURAL,OK,72,14
SPECTACLE LAKE,OK,38,9
OROVILLE #8,OK,32,7
OROVILLE #9,OK,22,7
OROVILLE #4,OK,24,14
OROVILLE #5,OK,34,12
OROVILLE #6,OK,19,7
OROVILLE #7,OK,22,8
OROVILLE #1,OK,31,11
OROVILLE #2,OK,24,4
OROVILLE #3,OK,16,11
COPPLE,OK,41,13
OKANOGAN #5,OK,31,11
TORODA,OK,45,20
HORSESHOE LAKE,OK,35,7
CONCONULLY CITY,OK,57,15
COLEMAN BUTTE,OK,36,15
JOHNSON CREEK,OK,37,20
TONASKET CREEK,OK,21,14
DUFFYS MTN,OK,28,5
LOOMIS,OK,41,15
RIVERSIDE CITY,OK,43,20
SHORELINE,OK,23,10
BEEMAN,OK,53,14
CRUMBACHER,OK,47,21
OMAK #11,OK,52,14
OMAK #12,OK,43,10
OMAK #13,OK,24,11
OMAK #14,OK,20,7
OMAK #15,OK,46,13
OMAK #16,OK,31,6
OMAK #17,OK,49,22
PICKENS MTN,OK,30,9
EDER,OK,38,10
WANNACUT,OK,53,21
JANIS,OK,29,7
SIWASH CREEK,OK,36,17
CHEROKEE,OK,46,15
RANCHES,OK,16,3
TONASKET #5,OK,23,16
TONASKET #4,OK,30,7
FRONTAGE,OK,9,9
LEESE,OK,15,9
TONASKET #1,OK,22,7
OKANOGAN #11,OK,34,11
TONASKET #3,OK,11,8
TONASKET #2,OK,27,10
ANGLIN,OK,50,20
SAND FLAT,OK,49,17
TONASKET RURAL,OK,19,12
BODIE,OK,17,4
AENEAS,OK,36,9
WESTLAKE,OK,30,2
TONASKET #7,OK,32,17
TONASKET #6,OK,17,9
OKANOGAN #10,OK,42,18
OKANOGAN #12,OK,20,5
WAUCONDA,OK,45,14
OKANOGAN #13,OK,24,2
NIGHTHAWK,OK,13,4
CONCONULLY RURAL,OK,23,14
SAN POIL,OK,61,18
OMAK #18,OK,16,10
GUSTY RIDGE,OK,25,12
EASTLAKE,OK,19,6
Total,OK,4127,1436
