Row Label,County,Susan Fagan
ENDICOTT 147,WT,96
LACROSSE IN,WT,120
GARFIELD IN,WT,166
PULLMAN CITY 114,WT,18
PULLMAN 235,WT,288
FARMINGTON 103,WT,31
LAMONT IN,WT,21
PULLMAN 234,WT,58
COLFAX CITY 139,WT,202
PULLMAN CITY 127,WT,22
MALDEN IN,WT,45
PULLMAN CITY 125,WT,12
PULLMAN CITY 124,WT,23
PULLMAN CITY 123,WT,167
PULLMAN CITY 122,WT,83
PULLMAN CITY 121,WT,123
PULLMAN CITY 120,WT,453
UNIONTOWN 109,WT,60
TEKOA 101,WT,52
PULLMAN CITY 129,WT,52
PULLMAN CITY 128,WT,48
COLFAX RURAL 137,WT,234
DUSTY 143,WT,46
ALBION 112,WT,91
COLFAX CITY 142,WT,296
PULLMAN CITY 126,WT,17
COLTON 108,WT,89
COLFAX CITY 141,WT,159
WILCOX 138,WT,122
HAY 144,WT,23
PULLMAN 228,WT,14
ALBION IN,WT,130
COLFAX RURAL 136,WT,137
COLTON IN,WT,166
ROSALIA IN,WT,184
TEKOA IN,WT,195
MALDEN 150,WT,8
HOOPER 145,WT,17
OAKESDALE IN,WT,159
ST JOHN IN,WT,176
LAMONT 148,WT,36
ROSALIA 151,WT,70
ST JOHN 149,WT,188
PULLMAN CITY 135,WT,132
ENDICOTT IN,WT,110
COLFAX CITY 140,WT,185
PULLMAN 218,WT,248
PULLMAN CITY 134,WT,19
OAKESDALE 102,WT,88
PULLMAN CITY 118,WT,227
PULLMAN CITY 119,WT,149
PULLMAN CITY 130,WT,48
PULLMAN CITY 131,WT,4
PULLMAN CITY 132,WT,0
PULLMAN CITY 133,WT,0
PULLMAN RURAL 110,WT,319
PULLMAN RURAL 111,WT,89
THORNTON 152,WT,51
LACROSSE 146,WT,75
PULLMAN CITY 116,WT,323
PULLMAN CITY 117,WT,129
PALOUSE 107,WT,254
PULLMAN CITY 115,WT,7
PALOUSE RURAL 106,WT,150
UNIONTOWN IN,WT,95
STEPTOE 104,WT,94
FARMINGTON IN,WT,58
PULLMAN CITY 113,WT,109
GARFIELD 105,WT,81
Total,WT,7741
