Row Label,County,Joe Schmick
CLARKSTON #2,AS,174
SWALLOWS NEST,AS,359
WEST CLARKSTON #1,AS,209
WEST CLARKSTON #2,AS,219
WEST CLARKSTON #3,AS,264
ASOTIN #1,AS,167
ASOTIN #2,AS,178
SOUTH CLARKSTON #1,AS,206
SOUTH CLARKSTON #2,AS,266
W ASOTIN,AS,155
CLARKSTON #6,AS,200
CLARKSTON #7,AS,132
RURAL ASOTIN,AS,136
CLARKSTON #4,AS,194
Total,AS,5724
ANATONE,AS,124
CLARKSTON #3,AS,160
CLARKSTON HTS #4,AS,247
CLARKSTON #8,AS,173
CLARKSTON HTS #3,AS,100
CLARKSTON HTS #2,AS,427
CLARKSTON HTS #1,AS,260
CLARKSTON #5,AS,118
CLARKSTON HTS #7,AS,300
CLARKSTON HTS #6,AS,383
CLARKSTON HTS #5,AS,445
CLARKSTON #1,AS,128
