Row Label,County,Derek Stanford,Registered Voters,Times Blank Voted,Times Counted,Times Over Voted,Write-in,Mark Davies
KIR 01-2767,KI,212,573,32,359,0,0,115
KIR 01-2762,KI,188,618,15,308,0,0,105
KIR 01-2918,KI,191,667,27,321,0,1,102
KIR 01-2768,KI,228,624,39,383,0,0,116
BOT 01-0257,KI,254,718,13,417,0,1,149
BOT 01-0256,KI,239,670,18,417,0,0,160
BOT 01-0255,KI,205,750,39,428,0,0,184
BOT 01-0254,KI,203,561,21,311,0,0,87
BOT 01-0253,KI,139,400,8,229,0,0,82
BOT 01-1224,KI,232,748,27,414,0,1,154
BOT 01-1207,KI,170,553,21,282,0,1,90
KIR 01-0421,KI,290,724,40,468,0,1,137
BOT 01-3321,KI,142,430,24,293,0,0,127
BOT 01-0259,KI,138,430,28,245,0,2,77
BOT 01-0258,KI,267,817,33,440,0,0,140
BOT 01-2677,KI,111,344,22,204,0,0,71
BOT 01-2676,KI,235,825,31,391,0,2,123
KIR 01-3422,KI,139,546,22,266,0,0,105
KIR 01-0356,KI,312,816,34,516,0,0,170
KIR 01-2759,KI,225,695,23,359,0,1,110
KIR 01-2678,KI,237,695,23,375,0,0,115
KIR 01-0019,KI,232,752,31,433,0,0,170
KIR 01-2457,KI,205,709,26,376,0,0,145
BOT 01-2495,KI,132,580,29,304,0,0,143
BOT 01-2865,KI,106,356,13,205,0,1,85
BOT 01-0262,KI,204,779,34,367,0,1,128
BOT 01-0260,KI,270,769,32,482,0,0,180
BOT 01-0261,KI,227,634,30,378,0,0,121
KIR 01-2595,KI,151,495,23,239,0,2,63
KIR 01-0870,KI,185,632,33,340,0,0,122
KIR 01-3678,KI,91,349,19,193,1,0,82
KIR 01-2923,KI,195,642,30,311,0,2,84
BOT 01-3195,KI,136,510,16,250,0,0,98
KIR 01-0422,KI,178,612,35,309,0,1,95
BOT 01-3661,KI,134,528,17,245,0,2,92
BOT 01-3420,KI,104,399,8,205,0,0,93
KIR 01-2488,KI,257,786,47,473,0,0,169
KIR 01-2561,KI,185,649,31,340,0,0,124
KIR 01-0403,KI,184,537,25,275,0,1,65
BOT 01-2473,KI,163,481,15,256,0,0,78
BOT 01-3398,KI,176,656,39,350,0,0,135
BOT 01-3271,KI,145,431,17,229,0,0,67
BOT 01-0868,KI,166,650,22,292,0,0,104
BOT 01-0252,KI,164,514,28,308,0,2,114
