Row Label,County,Shari Song,Registered Voters,Times Blank Voted,Times Counted,Times Over Voted,Write-in,Mark Miloscia
FED 30-3372,KI,94,450,5,227,0,0,128
DENVER,KI,134,588,7,229,0,0,88
TROUT LAKE,KI,120,719,5,352,0,2,225
PAC 30-0887,KI,156,796,12,332,0,0,164
PAC 30-0886,KI,112,668,8,287,0,0,167
DES 30-1227,KI,158,635,25,378,0,2,193
FED 30-3034,KI,84,359,5,171,0,0,82
FED 30-3035,KI,52,265,4,128,0,0,72
FED 30-3036,KI,74,342,4,148,0,0,70
FED 30-3037,KI,76,359,6,191,0,1,108
FED 30-3030,KI,73,361,6,175,0,1,95
FED 30-3031,KI,127,542,4,273,1,0,141
FED 30-3032,KI,54,267,2,131,0,1,74
FED 30-3033,KI,85,408,4,201,0,0,112
FED 30-3238,KI,71,359,2,148,0,0,75
FED 30-3038,KI,58,198,2,115,0,0,55
FED 30-3039,KI,72,331,3,186,0,1,110
BINGAMAN,KI,137,565,3,313,0,1,172
PAC 30-2856,KI,118,686,5,230,0,0,107
AUB 30-0067,KI,85,430,11,164,0,0,68
FED 30-3080,KI,98,499,6,172,1,0,67
FED 30-3085,KI,123,416,13,257,0,0,121
FED 30-3087,KI,113,508,4,259,0,2,140
FED 30-3086,KI,108,526,9,279,0,2,160
PAC 30-0885,KI,115,762,14,342,0,0,213
FED 30-3088,KI,110,538,11,263,0,2,140
AUB 30-3477,KI,27,203,2,65,0,0,36
AUB 30-3476,KI,38,264,6,86,0,0,42
FED 30-3008,KI,86,365,6,163,0,1,70
FED 30-3001,KI,169,622,12,357,0,2,174
FED 30-3000,KI,81,479,6,197,0,1,109
FED 30-3003,KI,100,563,10,270,0,0,160
FED 30-3002,KI,154,690,8,314,0,3,149
FED 30-3005,KI,87,298,5,201,0,0,109
FED 30-3004,KI,89,442,3,188,0,1,95
FED 30-3007,KI,53,242,3,144,0,0,88
FED 30-3006,KI,85,466,6,207,0,0,116
FED 30-3574,KI,43,353,5,117,0,0,69
STAR LAKE,KI,89,325,7,182,0,0,86
ILLAHEE,KI,94,328,14,222,0,0,114
DES 30-0954,KI,195,745,10,415,0,0,210
FED 30-3096,KI,117,550,9,249,0,0,123
FED 30-3097,KI,210,720,12,429,0,0,207
FED 30-3094,KI,126,595,8,277,0,1,142
FED 30-3095,KI,85,501,3,173,0,1,84
FED 30-3092,KI,141,631,3,213,0,0,69
FED 30-3093,KI,99,612,8,221,0,1,113
FED 30-3090,KI,77,356,5,198,0,0,116
FED 30-3091,KI,135,552,9,388,0,0,244
FED 30-3098,KI,91,528,8,252,0,1,152
FED 30-3395,KI,64,272,4,143,0,3,72
SPIDER LAKE,KI,127,755,25,387,0,1,234
EXCALIBUR,KI,75,403,10,226,0,0,141
GENEVA,KI,76,408,10,218,0,0,132
FED 30-3018,KI,72,327,5,155,0,1,77
FED 30-3019,KI,68,427,5,231,0,0,158
FED 30-3017,KI,165,715,11,458,0,0,282
FED 30-3014,KI,109,461,6,277,0,0,162
FED 30-3015,KI,67,398,4,241,0,2,168
FED 30-3012,KI,92,301,3,194,0,0,99
FED 30-3013,KI,56,266,2,124,0,0,66
FED 30-3010,KI,70,335,7,197,0,1,119
FED 30-3011,KI,56,343,1,138,0,0,81
MIL 30-3146,KI,146,659,18,361,0,1,196
DOLLOFF,KI,85,412,11,223,0,0,127
FED 30-3599,KI,72,420,9,213,0,0,132
FED 30-3596,KI,72,332,4,178,0,0,102
AVALON,KI,85,372,2,191,0,0,104
AUB 30-2702,KI,86,470,2,156,0,1,67
AUB 30-2703,KI,25,262,0,63,0,0,38
WESTWOOD,KI,0,0,0,0,0,0,0
AUB 30-0046,KI,81,351,6,169,0,0,82
MERLIN,KI,70,411,5,170,0,6,89
CYPRESS,KI,0,0,0,0,0,0,0
SERENIDAD,KI,145,746,9,317,0,0,163
CADDIS,KI,76,366,11,211,0,1,123
FED 30-2988,KI,169,629,6,332,0,1,156
THISTLE,KI,66,334,1,152,0,0,85
AUB 30-0053,KI,93,437,5,185,0,0,87
FED 30-3582,KI,41,255,3,95,0,0,51
DEVILLE,KI,124,558,4,263,0,0,135
