Row Label,County,Brendan B. Kolding,Joe Fitzgibbon,Registered Voters,Times Blank Voted,Times Counted,Times Over Voted,Write-in
SEA 34-1515,KI,28,190,391,29,247,0,0
SEA 34-1410,KI,13,94,240,49,156,0,0
SEA 34-1517,KI,11,111,260,22,145,0,1
BUR 34-0900,KI,45,103,391,43,194,1,2
SEA 34-1511,KI,18,113,320,40,172,0,1
SEA 34-1510,KI,31,148,392,44,228,0,5
SEA 34-1513,KI,48,207,663,56,312,0,1
BUR 34-0377,KI,52,174,607,61,293,0,6
SEA 34-3648,KI,22,168,470,48,240,1,1
SEA 34-1519,KI,15,129,327,42,192,0,6
BUR 34-0465,KI,18,82,228,31,132,0,1
BUR 34-1047,KI,66,192,744,95,355,0,2
SEA 34-1516,KI,34,153,399,38,227,0,2
BILOXI,KI,26,213,430,46,287,0,2
SEA 34-1512,KI,19,100,269,28,149,0,2
SEA 34-1508,KI,21,117,295,44,182,0,0
SEA 34-3637,KI,60,182,567,64,309,0,3
SEA 34-1529,KI,19,81,266,28,132,0,4
SEA 34-1509,KI,20,123,281,33,177,0,1
SEA 34-3632,KI,22,63,271,14,99,0,0
SEA 34-1449,KI,26,138,367,47,213,1,1
SEA 34-1448,KI,18,135,270,27,181,0,1
SEA 34-1446,KI,26,158,398,52,237,0,1
SEA 34-1444,KI,38,248,595,77,365,0,2
SEA 34-1443,KI,40,169,380,57,266,0,0
SEA 34-1442,KI,21,145,380,39,207,0,2
SEA 34-1441,KI,23,96,264,37,156,0,0
SEA 34-1440,KI,12,98,242,39,149,0,0
CHAUTAUQUA,KI,26,183,416,43,259,0,7
BUR 34-0344,KI,45,173,420,76,301,0,7
SEA 34-1467,KI,31,244,551,63,339,0,1
BUR 34-1058,KI,45,178,493,86,315,0,6
BUR 34-1059,KI,63,185,614,65,321,0,8
BUR 34-1057,KI,76,239,660,108,423,0,0
BAKER,KI,44,237,599,63,347,0,3
QUARTERMASTER,KI,22,158,342,45,229,0,4
COVE,KI,21,278,545,46,350,0,5
BUR 34-0699,KI,84,279,823,112,489,0,14
SEA 34-1518,KI,14,112,260,30,156,0,0
BUR 34-1116,KI,36,117,387,36,192,0,3
BURTON,KI,18,114,241,31,163,0,0
SEA 34-1502,KI,20,159,342,43,223,0,1
SEA 34-1501,KI,22,186,369,38,248,0,2
SEA 34-1507,KI,22,157,357,47,230,0,4
SEA 34-1458,KI,22,179,376,45,246,0,0
SEA 34-1459,KI,28,118,272,27,175,0,2
SEA 34-1454,KI,21,120,306,37,180,0,2
SEA 34-1455,KI,51,292,956,82,428,1,2
SEA 34-1456,KI,31,175,428,42,248,0,0
SEA 34-1457,KI,34,264,687,85,385,0,2
SEA 34-1450,KI,21,132,301,31,188,0,4
SEA 34-1451,KI,12,133,330,32,178,0,1
SEA 34-1452,KI,14,123,275,32,170,0,1
BERNICE,KI,64,136,601,38,240,0,2
SHAWNEE,KI,22,217,426,51,291,0,1
BUR 34-1219,KI,66,178,530,95,345,0,6
SEA 34-3263,KI,36,121,415,36,194,0,1
SEA 34-3265,KI,29,106,353,31,168,0,2
SEA 34-3264,KI,34,112,340,31,180,0,3
SEA 34-3266,KI,12,88,311,16,117,0,1
BUR 34-1104,KI,37,103,325,46,186,0,0
WYNONA,KI,40,133,462,37,211,0,1
DOCKTON,KI,34,339,696,71,446,0,2
DOLPHIN,KI,25,143,275,10,183,0,5
SEA 34-1461,KI,36,163,399,69,268,0,0
SEA 34-1460,KI,32,139,324,36,209,0,2
SEA 34-1463,KI,25,120,259,31,178,0,2
SEA 34-1462,KI,29,114,339,56,199,0,0
SEA 34-1465,KI,37,171,372,43,251,0,0
SEA 34-1464,KI,29,155,359,58,245,1,2
BUR 34-0295,KI,59,145,479,63,269,0,2
SEA 34-1466,KI,23,112,303,44,179,0,0
SEA 34-1469,KI,22,110,362,50,182,0,0
SEA 34-1468,KI,35,169,448,49,256,0,3
SEA 34-1500,KI,28,241,584,59,328,0,0
BUR 34-0298,KI,83,176,668,58,322,0,5
SEA 34-1506,KI,28,117,299,37,183,0,1
BUR 34-1192,KI,49,245,591,98,397,0,5
SEA 34-1504,KI,23,184,418,55,267,0,5
SEA 34-1409,KI,33,176,422,61,270,0,0
SEA 34-1408,KI,66,279,708,131,481,0,5
BUR 34-1136,KI,33,70,218,32,137,0,2
SEA 34-1489,KI,42,227,744,64,338,0,5
SEA 34-1488,KI,59,179,692,44,284,0,2
SEA 34-1514,KI,37,195,521,43,277,0,2
REGAL,KI,70,187,788,62,321,0,2
SEA 34-1482,KI,18,132,321,28,180,0,2
BUR 34-1032,KI,53,156,511,50,263,0,4
SEA 34-1480,KI,34,238,594,66,339,0,1
SEA 34-1487,KI,20,153,335,31,205,0,1
GLASGOW,KI,48,131,601,72,255,0,4
SEA 34-1485,KI,47,188,708,65,307,0,7
LISABEULA,KI,29,238,467,38,309,0,4
SEA 34-1245,KI,27,169,466,44,244,1,3
SEA 34-1247,KI,30,144,461,25,202,0,3
SEA 34-1246,KI,20,131,355,52,203,0,0
SEA 34-1249,KI,46,144,551,49,241,1,1
SEA 34-1248,KI,32,144,407,32,209,0,1
BUR 34-0913,KI,52,122,599,43,225,2,6
SYLVAN,KI,67,220,744,49,336,0,0
SEA 34-1476,KI,18,114,273,38,170,0,0
BUR 34-0281,KI,0,0,0,0,0,0,0
SEA 34-1474,KI,30,155,402,42,227,0,0
SEA 34-1475,KI,15,120,311,39,176,0,2
SEA 34-1472,KI,15,126,239,29,171,0,1
SEA 34-1473,KI,17,132,319,30,180,0,1
SEA 34-1470,KI,43,238,677,69,352,0,2
SEA 34-1471,KI,23,210,492,71,305,0,1
SEA 34-1453,KI,11,133,264,29,174,0,1
SEA 34-1478,KI,10,125,253,28,163,0,0
SEA 34-1479,KI,19,143,313,38,200,0,0
BUR 34-0033,KI,60,157,682,86,309,0,6
SEA 34-1411,KI,23,132,307,42,197,0,0
SEA 34-1412,KI,10,104,261,52,166,0,0
SEA 34-1413,KI,28,208,533,81,319,0,2
SEA 34-1414,KI,23,99,239,38,165,0,5
SEA 34-1415,KI,25,179,406,40,247,0,3
SEA 34-1416,KI,28,161,394,45,235,0,1
BUR 34-1082,KI,19,132,307,63,215,0,1
SEA 34-1418,KI,22,131,299,41,196,0,2
SEA 34-1419,KI,45,272,694,97,418,0,4
CROSS,KI,22,255,511,49,328,0,2
SEA 34-1498,KI,47,221,668,60,330,0,2
SEA 34-1499,KI,33,193,483,56,289,0,7
SEA 34-3682,KI,15,138,386,38,192,0,1
BUR 34-0848,KI,47,147,421,64,261,0,3
SEA 34-1490,KI,27,172,437,34,235,0,2
SEA 34-1493,KI,42,219,722,58,320,0,1
SEA 34-1494,KI,34,180,536,44,265,0,7
SEA 34-1481,KI,24,153,479,46,227,0,4
SEA 34-1496,KI,42,272,826,72,389,0,3
SEA 34-1497,KI,53,213,728,68,336,0,2
SEA 34-1257,KI,43,180,510,77,304,0,4
SEA 34-1254,KI,19,104,346,26,150,0,1
SEA 34-1255,KI,35,134,414,31,202,0,2
SEA 34-1252,KI,35,200,660,59,295,0,1
SEA 34-1250,KI,22,134,335,43,199,0,0
SEA 34-1251,KI,61,183,538,67,312,0,1
CARPENTER,KI,19,187,434,35,242,0,1
SEA 34-1258,KI,26,151,341,47,225,0,1
SEA 34-1259,KI,26,136,328,40,205,0,3
SEA 34-1486,KI,25,135,364,38,201,0,3
SEA 34-3175,KI,29,165,357,41,235,0,0
SEA 34-1484,KI,25,119,345,33,180,0,3
SEA 34-1425,KI,16,150,292,19,185,0,0
SEA 34-1424,KI,23,143,436,41,210,0,3
SEA 34-1427,KI,20,101,269,39,163,0,3
SEA 34-1426,KI,17,112,294,57,186,0,0
SEA 34-1420,KI,42,261,668,81,385,0,1
SEA 34-1423,KI,24,139,338,40,205,0,2
SEA 34-1422,KI,21,156,354,37,216,0,2
BUR 34-0381,KI,46,139,486,54,243,0,4
SEAVIEW,KI,26,139,393,54,221,0,2
SEA 34-1429,KI,9,114,252,33,158,0,2
SEA 34-1428,KI,24,104,252,31,163,0,4
SEA 34-2501,KI,40,152,381,50,244,0,2
BUR 34-1150,KI,71,113,365,62,249,0,3
VASHON,KI,17,157,390,39,215,0,2
EVERGREEN,KI,52,165,716,41,261,0,3
MARIAN,KI,66,199,776,56,323,0,2
SEA 34-1533,KI,17,97,229,45,159,0,0
SEA 34-1532,KI,13,99,237,26,138,0,0
SEA 34-1530,KI,49,245,619,71,367,0,2
SEA 34-1537,KI,34,95,289,27,156,0,0
SEA 34-1536,KI,29,127,304,33,191,0,2
SEA 34-1535,KI,21,95,239,30,146,0,0
SEA 34-1534,KI,25,147,362,63,238,0,3
SEALTH,KI,19,165,378,43,229,0,2
SEA 34-1539,KI,22,140,356,33,198,0,3
SEA 34-1538,KI,26,131,378,45,202,0,0
BUR 34-0560,KI,46,129,474,46,223,0,2
BUR 34-1064,KI,53,212,589,85,358,0,8
SEA 34-1436,KI,19,106,362,31,156,0,0
BUR 34-0025,KI,65,203,734,77,352,0,7
SEA 34-1477,KI,17,136,307,46,200,0,1
BUR 34-0710,KI,34,87,357,50,175,0,4
SUNNYWOOD,KI,58,171,629,56,287,0,2
BUR 34-0824,KI,63,143,577,62,272,0,4
SEA 34-1546,KI,24,166,385,65,257,1,1
SEA 34-1545,KI,32,138,422,52,224,0,2
SEA 34-1543,KI,35,128,327,54,218,0,1
SEA 34-1540,KI,18,116,333,41,176,0,1
SEA 34-1541,KI,32,134,380,68,235,0,1
DILWORTH,KI,21,204,438,50,277,0,2
SEA 34-1520,KI,22,135,314,33,190,0,0
SEA 34-1521,KI,20,116,266,44,181,0,1
SEA 34-1522,KI,18,125,261,26,171,0,2
SEA 34-1523,KI,27,121,296,44,193,0,1
