Row Label,County,Jeanne Kohl-Welles,Registered Voters,Times Blank Voted,Times Counted,Times Over Voted,Write-in,Sarina Forbes
SEA 36-1812,KI,185,469,19,251,0,0,47
SEA 36-1813,KI,139,330,10,174,0,1,24
SEA 36-1816,KI,138,303,10,172,0,0,24
SEA 36-1815,KI,209,453,24,273,0,0,40
SEA 36-2509,KI,219,403,12,260,0,0,29
SEA 36-2131,KI,351,851,31,453,0,0,71
SEA 36-1391,KI,211,439,17,262,0,0,34
SEA 36-1390,KI,159,290,17,191,0,0,15
SEA 36-1393,KI,186,297,10,209,0,0,13
SEA 36-1392,KI,222,411,10,255,0,0,23
SEA 36-1395,KI,247,444,16,276,0,1,12
SEA 36-1394,KI,282,559,24,336,0,1,29
SEA 36-1397,KI,196,357,20,233,0,0,17
SEA 36-1396,KI,139,282,9,166,0,0,18
SEA 36-1399,KI,164,296,21,205,0,0,20
SEA 36-1398,KI,213,503,20,265,0,0,32
SEA 36-2133,KI,272,698,30,348,0,2,44
SEA 36-1806,KI,216,598,22,281,0,1,42
SEA 36-1319,KI,239,469,20,285,0,2,24
SEA 36-1318,KI,441,999,40,537,0,0,56
SEA 36-1403,KI,180,497,21,234,0,0,33
SEA 36-1402,KI,170,381,13,206,0,0,23
SEA 36-2171,KI,245,491,23,329,0,3,58
SEA 36-3319,KI,273,867,38,365,0,1,53
SEA 36-1317,KI,277,631,32,370,0,1,60
SEA 36-2119,KI,157,277,7,176,0,0,12
SEA 36-1720,KI,229,622,17,287,0,0,41
SEA 36-1721,KI,186,529,17,246,0,0,43
SEA 36-1722,KI,193,536,22,256,0,1,40
SEA 36-1723,KI,192,431,23,252,0,1,36
SEA 36-1724,KI,142,315,12,207,0,0,53
SEA 36-1725,KI,152,372,10,189,0,0,27
SEA 36-1726,KI,161,387,21,214,0,0,32
SEA 36-1727,KI,177,382,20,239,0,0,42
SEA 36-1729,KI,122,231,8,147,0,0,17
SEA 36-3605,KI,190,535,16,249,0,1,42
SEA 36-3341,KI,250,654,15,325,0,0,60
SEA 36-1386,KI,149,315,13,213,0,0,51
SEA 36-1387,KI,218,462,17,289,0,0,54
SEA 36-1384,KI,189,309,9,228,0,1,29
SEA 36-1385,KI,133,243,13,175,0,0,29
SEA 36-1382,KI,192,374,13,233,0,0,28
SEA 36-2534,KI,241,547,23,315,0,0,51
SEA 36-1388,KI,193,337,14,220,0,0,13
SEA 36-1389,KI,139,259,8,163,0,1,15
SEA 36-2129,KI,267,691,14,326,0,0,45
SEA 36-1308,KI,165,298,9,193,0,0,19
SEA 36-1309,KI,264,556,26,328,0,0,38
SEA 36-1306,KI,208,381,21,240,0,0,11
SEA 36-1307,KI,138,276,15,174,0,1,20
SEA 36-1304,KI,204,333,9,234,0,0,21
SEA 36-1305,KI,182,301,10,206,0,1,13
SEA 36-1303,KI,231,411,13,269,0,1,24
SEA 36-1300,KI,170,383,17,214,0,0,27
SEA 36-1301,KI,183,319,11,218,0,0,24
SEA 36-1715,KI,145,355,12,172,0,0,15
SEA 36-1714,KI,261,526,16,321,0,0,44
SEA 36-1717,KI,115,251,4,134,0,0,15
SEA 36-1716,KI,148,357,8,177,0,2,19
SEA 36-1711,KI,287,760,41,379,0,0,51
SEA 36-1710,KI,117,351,15,157,0,1,24
SEA 36-1713,KI,141,362,17,176,0,3,15
SEA 36-1712,KI,203,463,13,269,0,0,53
SEA 36-2168,KI,279,520,34,334,0,0,21
SEA 36-1719,KI,233,510,22,299,0,0,44
