Row Label,County,Victoria Meadows
BELFAIR,MA,337
MILL CREEK,MA,476
HARSTINE,MA,524
DAYTON,MA,308
DOWNTOWN,MA,323
AIRPORT,MA,491
MATLOCK,MA,330
AGATE,MA,381
JOHN&#39;S PRAIRIE,MA,296
OLYMPIC VIEW,MA,485
ISABELLA,MA,255
CUSHMAN,MA,476
MASON LAKE,MA,331
SAND HILL,MA,439
KAMILCHE POINT,MA,212
HILLCREST,MA,289
EELLS,MA,132
BORDEAUX,MA,67
ANGLESIDE,MA,406
ARCADIA,MA,440
HOOD CANAL,MA,420
UNION,MA,597
LIMERICK,MA,524
FAWN LAKE,MA,462
TIGER LAKE,MA,207
PICKERING,MA,388
CALLANAN,MA,11
KAMILCHE,MA,163
VICTOR,MA,270
TWANOH,MA,251
OAKLAND BAY,MA,322
TAHUYA,MA,368
ALLYN,MA,664
DEWATTO,MA,393
TIMBERLAKE,MA,485
GRAPEVIEW,MA,487
FAIR HARBOR,MA,281
TRAIL&#39;S END,MA,429
SKOKOMISH,MA,88
Total,MA,13808
