Row Label,County,Michael Dorcy
BELFAIR,MA,343
MILL CREEK,MA,506
HARSTINE,MA,497
DAYTON,MA,316
DOWNTOWN,MA,318
AIRPORT,MA,528
MATLOCK,MA,354
AGATE,MA,384
JOHN&#39;S PRAIRIE,MA,324
OLYMPIC VIEW,MA,480
ISABELLA,MA,250
CUSHMAN,MA,457
MASON LAKE,MA,339
SAND HILL,MA,424
KAMILCHE POINT,MA,200
HILLCREST,MA,260
EELLS,MA,143
BORDEAUX,MA,58
ANGLESIDE,MA,413
ARCADIA,MA,433
HOOD CANAL,MA,461
UNION,MA,609
LIMERICK,MA,535
FAWN LAKE,MA,461
TIGER LAKE,MA,219
PICKERING,MA,371
CALLANAN,MA,14
KAMILCHE,MA,170
VICTOR,MA,307
TWANOH,MA,254
OAKLAND BAY,MA,338
TAHUYA,MA,406
ALLYN,MA,722
DEWATTO,MA,433
TIMBERLAKE,MA,493
GRAPEVIEW,MA,478
FAIR HARBOR,MA,314
TRAIL&#39;S END,MA,453
SKOKOMISH,MA,63
Total,MA,14128
