Row Label,County,Elisabeth (Lisa) Frazier
BELFAIR,MA,348
MILL CREEK,MA,507
HARSTINE,MA,548
DAYTON,MA,322
DOWNTOWN,MA,338
AIRPORT,MA,523
MATLOCK,MA,352
AGATE,MA,388
JOHN&#39;S PRAIRIE,MA,311
OLYMPIC VIEW,MA,497
ISABELLA,MA,241
CUSHMAN,MA,482
MASON LAKE,MA,342
SAND HILL,MA,442
KAMILCHE POINT,MA,225
HILLCREST,MA,286
EELLS,MA,137
BORDEAUX,MA,69
ANGLESIDE,MA,418
ARCADIA,MA,466
HOOD CANAL,MA,447
UNION,MA,614
LIMERICK,MA,574
FAWN LAKE,MA,495
TIGER LAKE,MA,217
PICKERING,MA,385
CALLANAN,MA,13
KAMILCHE,MA,165
VICTOR,MA,279
TWANOH,MA,263
OAKLAND BAY,MA,307
TAHUYA,MA,393
ALLYN,MA,685
DEWATTO,MA,441
TIMBERLAKE,MA,482
GRAPEVIEW,MA,489
FAIR HARBOR,MA,287
TRAIL&#39;S END,MA,414
SKOKOMISH,MA,99
Total,MA,14291
