Row Label,County,Charleen Groomes
JENNINGS LOOP,OK,26
MOCCASIN LAKE,OK,53
TONASKET CREEK,OK,29
FINLEY CANYON,OK,62
TUNK CREEK,OK,73
NORTH TONASKET,OK,59
FLETCHER,OK,42
GREENACRES,OK,31
OMAK #21,OK,29
BUCKHORN MTN,OK,43
GLOVER,OK,49
OMAK #22,OK,40
OMAK #23,OK,20
OMAK #24,OK,32
WEST CHEWUCH,OK,48
OKANOGAN #13,OK,22
METHOW,OK,59
ELMWAY,OK,37
BREWSTER FLAT,OK,38
TEAL LAKE,OK,30
TONASKET RURAL,OK,27
NORTH STAR,OK,12
NESPELEM CITY,OK,17
VALLEY,OK,37
OMAK RIVER,OK,41
BREWSTER #6,OK,20
OWHI,OK,25
AENEAS CREEK,OK,42
OMAK #19,OK,27
PINE CONE,OK,27
ASTON,OK,30
BREWSTER #2,OK,54
BREWSTER #3,OK,30
BREWSTER RURAL,OK,48
BREWSTER #1,OK,24
WHISKY MTN,OK,14
BREWSTER #4,OK,13
LIME BELT,OK,21
ELLISFORDE,OK,52
ALMA,OK,42
OROVILLE #8,OK,34
AENEAS LAKE,OK,66
OMAK #13,OK,30
SUNSET LAKES,OK,17
OMAK #6,OK,37
PALMER LAKE,OK,42
CARLTON,OK,28
OMAK #5,OK,44
OMAK #2,OK,38
MAZAMA,OK,59
FIKER,OK,35
OMAK #1,OK,27
PATEROS #3,OK,21
PATEROS #2,OK,33
PATEROS #1,OK,35
OKANOGAN #6,OK,42
OMAK #8,OK,23
BLACK CANYON,OK,32
CANAL,OK,36
OKANOGAN #3,OK,20
OKANOGAN #1,OK,34
COLUMBIA,OK,18
OKANOGAN #7,OK,19
TWISP RURAL,OK,41
BONAPARTE,OK,31
GUSTY RIDGE,OK,35
OROVILLE #7,OK,30
ROSS CANYON,OK,44
OKANOGAN #9,OK,38
OROVILLE #4,OK,38
KIPLING,OK,30
LONGANECKER,OK,29
NORTH OMAK,OK,26
OMAK MTN,OK,22
AVIATION,OK,25
RAT LAKE,OK,29
WINTHROP #2,OK,42
OMAK #7,OK,36
OMAK #10,OK,49
TWIN LAKES,OK,60
OMAK #4,OK,32
MOLSON,OK,56
YARNELL,OK,26
WHITESTONE,OK,31
CHEWILIKEN,OK,24
COULEE DAM #4,OK,32
OMAK #3,OK,18
HAVILLAH,OK,60
OMAK #20,OK,43
PINE CREEK,OK,40
EDELWEISS,OK,46
BUFFALO LAKE,OK,19
POORMAN CREEK,OK,72
CHESAW,OK,36
PATEROS RURAL,OK,35
CAYUSE MTN,OK,25
SOURDOUGH,OK,56
HIGHWAY,OK,18
DAVIS LAKE,OK,42
LEECHER MTN,OK,52
SOUTH OROVILLE,OK,51
BEEMAN,OK,59
MYERS CREEK,OK,20
BLUE LAKE,OK,53
POGUE,OK,64
MONSE #3,OK,33
TORODA,OK,49
MONSE #1,OK,48
BOUNDARY,OK,44
OMAK #9,OK,61
TONASKET #6,OK,23
SAN POIL,OK,67
LAKE ANDREWS,OK,39
ENGH,OK,59
OKANOGAN #2,OK,46
ANTOINE CREEK,OK,28
BRIDGE CREEK,OK,28
RIVERSIDE RURAL,OK,82
SPRING COULEE,OK,55
SPECTACLE LAKE,OK,41
AIRPORT,OK,48
DULEY LAKE,OK,21
OROVILLE #9,OK,28
FLATS,OK,39
WINTHROP #1,OK,64
OROVILLE #5,OK,39
OROVILLE #6,OK,22
CROSSROADS,OK,32
OROVILLE #1,OK,36
OROVILLE #2,OK,23
OROVILLE #3,OK,25
LIBBY CREEK,OK,56
OKANOGAN RURAL,OK,32
OKANOGAN #4,OK,42
WEST RIVER,OK,21
BALKY HILL,OK,32
COPPLE,OK,51
OKANOGAN #5,OK,46
MISSION,OK,26
NESPELEM RURAL,OK,21
PATTERSON LAKE,OK,57
MCGINNIS LAKE,OK,11
HORSESHOE LAKE,OK,30
OKANOGAN #8,OK,33
NICHOLS,OK,30
CONCONULLY CITY,OK,64
ORCHARD,OK,27
ELMER CITY,OK,58
MCCLURE MTN,OK,56
ALTA LAKE,OK,33
PEARRYGIN LAKE,OK,35
COLEMAN BUTTE,OK,45
TWISP #4,OK,24
JOHNSON CREEK,OK,45
TWISP #3,OK,59
TWISP #1,OK,63
DUFFYS MTN,OK,24
LOOMIS,OK,52
RIVERSIDE CITY,OK,63
SHORELINE,OK,32
SIMILKAMEEN,OK,30
PIONEER,OK,41
