Row Label,County,Frank Rogers
JENNINGS LOOP,OK,27
MOCCASIN LAKE,OK,60
TONASKET CREEK,OK,26
FINLEY CANYON,OK,55
TUNK CREEK,OK,75
NORTH TONASKET,OK,65
FLETCHER,OK,49
GREENACRES,OK,30
OMAK #21,OK,31
BUCKHORN MTN,OK,48
GLOVER,OK,57
OMAK #22,OK,43
OMAK #23,OK,23
OMAK #24,OK,33
WEST CHEWUCH,OK,53
OKANOGAN #13,OK,25
METHOW,OK,62
ELMWAY,OK,42
BREWSTER FLAT,OK,38
TEAL LAKE,OK,34
TONASKET RURAL,OK,31
NORTH STAR,OK,15
NESPELEM CITY,OK,16
VALLEY,OK,38
OMAK RIVER,OK,44
BREWSTER #6,OK,20
OWHI,OK,30
AENEAS CREEK,OK,44
OMAK #19,OK,30
PINE CONE,OK,32
ASTON,OK,37
BREWSTER #2,OK,56
BREWSTER #3,OK,35
BREWSTER RURAL,OK,51
BREWSTER #1,OK,25
WHISKY MTN,OK,15
BREWSTER #4,OK,15
LIME BELT,OK,24
ELLISFORDE,OK,61
ALMA,OK,44
OROVILLE #8,OK,33
AENEAS LAKE,OK,66
OMAK #13,OK,33
SUNSET LAKES,OK,18
OMAK #6,OK,38
PALMER LAKE,OK,46
CARLTON,OK,31
OMAK #5,OK,44
OMAK #2,OK,47
MAZAMA,OK,64
FIKER,OK,41
OMAK #1,OK,26
PATEROS #3,OK,22
PATEROS #2,OK,33
PATEROS #1,OK,36
OKANOGAN #6,OK,46
OMAK #8,OK,20
BLACK CANYON,OK,33
CANAL,OK,41
OKANOGAN #3,OK,24
OKANOGAN #1,OK,30
COLUMBIA,OK,18
OKANOGAN #7,OK,20
TWISP RURAL,OK,45
BONAPARTE,OK,29
GUSTY RIDGE,OK,35
OROVILLE #7,OK,32
ROSS CANYON,OK,48
OKANOGAN #9,OK,41
OROVILLE #4,OK,35
KIPLING,OK,27
LONGANECKER,OK,32
NORTH OMAK,OK,30
OMAK MTN,OK,22
AVIATION,OK,26
RAT LAKE,OK,30
WINTHROP #2,OK,49
OMAK #7,OK,37
OMAK #10,OK,46
TWIN LAKES,OK,71
OMAK #4,OK,32
MOLSON,OK,56
YARNELL,OK,29
WHITESTONE,OK,31
CHEWILIKEN,OK,22
COULEE DAM #4,OK,31
OMAK #3,OK,17
HAVILLAH,OK,60
OMAK #20,OK,47
PINE CREEK,OK,37
EDELWEISS,OK,61
BUFFALO LAKE,OK,19
POORMAN CREEK,OK,81
CHESAW,OK,40
PATEROS RURAL,OK,40
CAYUSE MTN,OK,28
SOURDOUGH,OK,62
HIGHWAY,OK,20
DAVIS LAKE,OK,49
LEECHER MTN,OK,56
SOUTH OROVILLE,OK,54
BEEMAN,OK,63
MYERS CREEK,OK,19
BLUE LAKE,OK,46
POGUE,OK,73
MONSE #3,OK,34
TORODA,OK,56
MONSE #1,OK,54
BOUNDARY,OK,42
OMAK #9,OK,70
TONASKET #6,OK,24
SAN POIL,OK,69
LAKE ANDREWS,OK,39
ENGH,OK,67
OKANOGAN #2,OK,48
ANTOINE CREEK,OK,30
BRIDGE CREEK,OK,35
RIVERSIDE RURAL,OK,85
SPRING COULEE,OK,62
SPECTACLE LAKE,OK,39
AIRPORT,OK,53
DULEY LAKE,OK,25
OROVILLE #9,OK,29
FLATS,OK,40
WINTHROP #1,OK,66
OROVILLE #5,OK,39
OROVILLE #6,OK,18
CROSSROADS,OK,38
OROVILLE #1,OK,33
OROVILLE #2,OK,26
OROVILLE #3,OK,23
LIBBY CREEK,OK,66
OKANOGAN RURAL,OK,33
OKANOGAN #4,OK,41
WEST RIVER,OK,25
BALKY HILL,OK,40
COPPLE,OK,55
OKANOGAN #5,OK,44
MISSION,OK,26
NESPELEM RURAL,OK,20
PATTERSON LAKE,OK,72
MCGINNIS LAKE,OK,11
HORSESHOE LAKE,OK,36
OKANOGAN #8,OK,35
NICHOLS,OK,27
CONCONULLY CITY,OK,73
ORCHARD,OK,34
ELMER CITY,OK,63
MCCLURE MTN,OK,64
ALTA LAKE,OK,40
PEARRYGIN LAKE,OK,40
