Row Label,County,Liz Green,Thomas Linde
NORTH BONNEVILLE,SM,181,123
STABLER,SM,113,158
UNDERWOOD SOUTH,SM,120,45
WIND RIVER,SM,77,111
CAPE HORN,SM,127,71
SKAMANIA,SM,153,87
ROCK CREEK,SM,65,70
CARSON CREEK,SM,105,109
SOUTH STEVENSON,SM,23,25
SKYE,SM,97,46
HOT SPRINGS SOUTH,SM,52,96
NORTH STEVENSON,SM,88,84
CHENOWITH,SM,132,33
MT. PLEASANT,SM,82,52
BEAR PRAIRIE,SM,73,51
CASCADES,SM,6,2
NELSON CREEK,SM,53,44
HOT SPRINGS NORTH,SM,46,43
LEWIS RIVER,SM,2,8
UNDERWOOD NORTH,SM,104,95
UPPER WASHOUGAL,SM,95,71
WIND MOUNTAIN,SM,54,66
MAPLE VIEW,SM,123,112
Total,SM,1971,1602
