Row Label,County,Howie Kubik
MILL CREEK,ST,106
KETTLE FALLS 1,ST,226
COLUMBIA,ST,290
ARDEN 1,ST,210
COLVILLE 1,ST,109
COLVILLE 2,ST,124
DAISY,ST,136
COLVILLE 4,ST,299
COLVILLE 5,ST,219
COLVILLE 6,ST,144
COLVILLE 7,ST,159
COLVILLE VALLEY,ST,398
STONE LODGE,ST,246
ECHO VALLEY,ST,152
LOON LAKE 2,ST,185
NARCISSE,ST,280
LOON LAKE 1,ST,331
COLVILLE 3,ST,133
CAMAS PRAIRIE,ST,134
EVANS,ST,138
SPRINGDALE,ST,50
MEYERS FALLS 2,ST,320
NORTHPORT,ST,67
SUMMIT,ST,217
KELLY HILL,ST,56
CLAYTON 2,ST,268
CLAYTON 1,ST,155
ARDEN 2,ST,259
MEYERS FALLS 1,ST,197
WAITTS LAKE,ST,255
WELLPINIT,ST,115
CHEWELAH 3,ST,166
HUNTERS,ST,253
ONION CREEK,ST,83
CHEWELAH 2,ST,111
CHEWELAH 1,ST,208
ECHO,ST,266
QUARTZITE 1,ST,400
QUARTZITE 2,ST,218
TUM TUM 5,ST,245
TUM TUM 4,ST,199
ROCK CUT,ST,45
TUM TUM 1,ST,152
TUM TUM 3,ST,348
TUM TUM 2,ST,296
MARCUS,ST,37
Total,ST,10994
FIRST THOUGHT,ST,30
WALKERS PRAIRIE,ST,185
CAMAS,ST,212
ADDY,ST,328
WILLIAMS VALLEY,ST,297
ORIN 1,ST,170
ORIN 2,ST,219
KETTLE FALLS 2,ST,147
CHEWELAH FORE,ST,100
RICE,ST,118
VALLEY 1,ST,30
VALLEY 2,ST,153
