Row Label,County,Dennis Bolz,Bob Goedde
210,CH,161,79
1149,CH,29,5
133,CH,199,67
132,CH,16,11
131,CH,30,15
135,CH,250,147
134,CH,270,136
490,CH,497,189
540,CH,276,100
1150(*),CH,0,0
163,CH,10,12
710,CH,147,166
120,CH,128,70
121,CH,150,53
122,CH,90,26
123,CH,13,17
124,CH,39,14
125,CH,281,121
126,CH,38,18
127,CH,78,25
128,CH,31,11
129,CH,114,46
410,CH,247,92
530,CH,328,140
590,CH,318,118
310,CH,103,66
190,CH,17,18
115,CH,19,10
114,CH,181,76
116,CH,62,39
111,CH,40,16
110,CH,144,69
113,CH,32,17
112,CH,13,4
100(*),CH,0,0
520,CH,489,167
420,CH,292,88
580,CH,222,76
440,CH,395,126
143(*),CH,0,0
510,CH,156,88
159(*),CH,0,0
430,CH,359,131
450,CH,315,156
330,CH,173,77
136(*),CH,0,0
175,CH,251,299
174,CH,124,193
173,CH,6,13
172,CH,13,7
171,CH,5,5
730,CH,210,290
182,CH,142,187
183,CH,93,90
181,CH,174,208
151(*),CH,0,0
1151(*),CH,0,0
560,CH,288,122
460,CH,262,142
164,CH,106,48
165,CH,61,40
161,CH,24,3
162,CH,20,13
220,CH,198,94
720,CH,241,214
150,CH,31,12
153,CH,455,138
155,CH,133,61
154,CH,361,119
157,CH,300,96
156,CH,42,9
158,CH,149,58
320,CH,160,93
141(*),CH,0,0
146,CH,58,23
147,CH,281,111
144,CH,13,3
145,CH,20,3
142,CH,28,6
140,CH,72,49
610,CH,196,92
148,CH,139,39
149,CH,158,42
152(*),CH,0,0
480,CH,339,132
Total,CH,11960,5962
