Row Label,County,Bruce P Walker
North Cove,PA,236
North River,PA,24
South Bend 1 R,PA,42
Ocean Park 2,PA,368
South Bend 2R,PA,10
Ocean Park 1,PA,150
Nemah,PA,38
Pioneer,PA,187
Willapa,PA,331
Pioneer 2,PA,158
Raymond W1p2,PA,109
Raymond W1p3,PA,115
Raymond W3 R,PA,37
Raymond W2 R,PA,36
Menlo-Firdale,PA,279
Klipsan,PA,250
Eklund Park,PA,65
Baleville,PA,49
Smith Creek,PA,47
South Bend 3R,PA,4
Frances-Lebam,PA,122
Raymond W2,PA,133
Bay Center,PA,126
Raymond W1p1,PA,20
Ilwaco 2 Rural,PA,52
Chinook,PA,191
Naselle,PA,382
Ilwaco City,PA,241
Seaview 2,PA,18
Seaview 1,PA,233
South Fork,PA,101
Nahcotta,PA,565
Long Beach,PA,390
South Bend 2,PA,86
Raymond W3,PA,190
Oysterville,PA,294
Total,PA,5961
South Bend 1,PA,158
Ilwaco 1 Rural,PA,0
South Bend 3,PA,124
