Row Label,County,Bob Burr,Jeffrey McClure
216,WM,252,147
217,WM,110,192
214,WM,210,136
215,WM,246,144
212,WM,69,106
213,WM,257,241
210,WM,301,162
211,WM,154,225
106    ,WM,118,208
260    ,WM,156,177
218,WM,112,168
219,WM,175,155
133,WM,150,122
132,WM,92,204
131,WM,135,325
130,WM,61,182
137,WM,158,119
135,WM,153,193
139,WM,39,169
138,WM,225,145
179    ,WM,46,64
182    ,WM,174,278
604    ,WM,73,312
162    ,WM,112,185
606    ,WM,102,304
175    ,WM,194,160
249    ,WM,205,194
610    ,WM,132,387
401,WM,75,154
248    ,WM,96,140
220,WM,149,159
124    ,WM,58,164
145    ,WM,152,336
173    ,WM,114,216
265    ,WM,154,155
120,WM,115,241
121,WM,75,176
122,WM,71,188
123,WM,68,172
125,WM,83,275
127,WM,171,340
129,WM,91,276
268,WM,4,11
166    ,WM,227,214
201    ,WM,221,350
304    ,WM,55,98
172    ,WM,119,137
111    ,WM,111,268
607    ,WM,97,311
160    ,WM,158,200
701,WM,108,251
115,WM,75,320
114,WM,70,141
117,WM,55,270
116,WM,48,200
110,WM,124,222
113,WM,92,252
112,WM,58,118
205,WM,127,133
118,WM,84,354
163    ,WM,161,189
261    ,WM,211,141
209,WM,216,187
509    ,WM,79,199
161    ,WM,101,126
251    ,WM,224,162
156    ,WM,69,97
252    ,WM,42,11
301,WM,191,261
302,WM,204,254
303,WM,132,292
611    ,WM,63,257
245,WM,98,58
244,WM,240,150
108,WM,172,305
246,WM,175,100
241,WM,133,158
240,WM,220,198
243,WM,196,192
242,WM,127,134
102,WM,82,192
103,WM,138,236
101,WM,176,158
107,WM,159,280
104,WM,78,165
105,WM,80,120
247,WM,158,77
253    ,WM,148,102
169    ,WM,263,292
605,WM,55,199
141    ,WM,157,315
140    ,WM,130,435
250    ,WM,315,243
259    ,WM,119,136
601,WM,143,450
507    ,WM,93,229
174    ,WM,125,185
255    ,WM,123,118
180    ,WM,193,180
254    ,WM,165,151
603,WM,83,281
181    ,WM,204,265
609    ,WM,81,429
504,WM,64,143
505,WM,185,249
502,WM,117,194
503,WM,149,271
501,WM,110,255
168    ,WM,145,340
257    ,WM,127,70
263    ,WM,214,109
177    ,WM,127,128
178    ,WM,228,177
183    ,WM,5,11
229,WM,221,148
228,WM,231,91
227,WM,235,175
226,WM,117,62
225,WM,231,143
224,WM,98,43
223,WM,165,86
222,WM,382,187
221,WM,144,244
167    ,WM,23,47
126    ,WM,155,312
258    ,WM,285,93
256    ,WM,250,152
608    ,WM,106,273
158    ,WM,64,119
264    ,WM,204,214
262    ,WM,205,117
159    ,WM,40,65
176    ,WM,138,163
151,WM,161,300
150,WM,138,297
153,WM,132,220
152,WM,155,218
155,WM,71,195
157,WM,76,93
602,WM,91,371
164    ,WM,58,83
508    ,WM,131,273
238,WM,96,184
239,WM,202,234
144    ,WM,83,417
234,WM,191,252
235,WM,99,134
236,WM,76,91
237,WM,114,108
230,WM,108,110
231,WM,191,158
232,WM,167,231
233,WM,175,168
154    ,WM,128,150
146    ,WM,125,375
136    ,WM,160,186
165    ,WM,73,134
147,WM,127,254
203,WM,159,257
202,WM,98,170
142,WM,146,168
204,WM,84,94
207,WM,139,109
206,WM,194,202
119    ,WM,78,122
208,WM,319,237
148,WM,152,241
149,WM,102,212
170    ,WM,110,189
143    ,WM,123,125
402    ,WM,101,197
171    ,WM,221,195
506    ,WM,129,220
267    ,WM,30,11
266    ,WM,209,214
134    ,WM,220,278
801,WM,93,188
Total,WM,24438,34301
