Row Label,County,Curt DeWoody,Bill Gordon
Pct 008,FR,34,181
Pct 009,FR,22,45
Pct 002,FR,35,70
Pct 003,FR,21,31
Pct 001,FR,66,134
Pct 006,FR,38,71
Pct 007,FR,25,68
Pct 004,FR,18,60
Pct 005,FR,19,49
Pct 082,FR,22,82
Pct 083,FR,19,68
Pct 080,FR,74,190
Pct 081,FR,20,45
Pct 086,FR,18,59
Pct 087,FR,17,45
Pct 084,FR,10,32
Pct 085,FR,10,35
Pct 088,FR,6,31
Pct 089,FR,22,89
Pct 079,FR,21,95
Pct 078,FR,16,58
Pct 077,FR,11,44
Pct 076,FR,13,60
Pct 075,FR,12,27
Pct 074,FR,58,163
Pct 073,FR,74,172
Pct 072,FR,37,81
Pct 071,FR,37,113
Pct 070,FR,17,47
Pct 101,FR,20,82
Pct 100,FR,24,75
Pct 069,FR,18,17
Pct 064,FR,45,137
Pct 065,FR,24,80
Pct 066,FR,71,189
Pct 060,FR,19,75
Pct 061,FR,55,201
Pct 062,FR,90,253
Pct 063,FR,50,125
Pct 067(*),FR,0,0
Pct 059,FR,71,214
Pct 058,FR,13,12
Pct 051,FR,65,147
Pct 050,FR,71,146
Pct 053,FR,46,114
Pct 052,FR,21,33
Pct 055,FR,118,188
Pct 054,FR,34,49
Pct 057,FR,37,123
Pct 056,FR,50,96
Pct 046,FR,112,148
Pct 047,FR,5,22
Pct 044,FR,69,98
Pct 045,FR,88,142
Pct 042,FR,56,92
Pct 043,FR,53,107
Pct 040,FR,76,109
Pct 041,FR,40,85
Pct 048,FR,66,151
Pct 049,FR,50,188
Pct 033,FR,59,86
Pct 032,FR,177,195
Pct 031,FR,12,58
Pct 030,FR,11,45
Pct 037,FR,110,138
Pct 036,FR,76,195
Pct 035,FR,28,77
Pct 034,FR,57,172
Pct 039,FR,72,126
Pct 038,FR,63,116
Pct 020,FR,18,52
Pct 021,FR,14,26
Pct 022,FR,94,77
Pct 023,FR,130,174
Pct 024,FR,73,66
Pct 025,FR,11,47
Pct 026,FR,33,69
Pct 027,FR,30,46
Pct 028,FR,23,54
Pct 029,FR,27,63
Pct 068(*),FR,0,0
Pct 019,FR,56,114
Pct 018,FR,12,45
Pct 015,FR,35,75
Pct 014,FR,26,61
Pct 017,FR,28,92
Pct 016,FR,4,15
Pct 011,FR,17,76
Pct 010,FR,21,99
Pct 013,FR,21,55
Pct 012,FR,32,46
Pct 095,FR,9,52
Pct 094,FR,0,0
Pct 097,FR,6,38
Pct 096,FR,12,73
Pct 091,FR,2,11
Pct 090,FR,47,92
Pct 093,FR,39,102
Pct 092,FR,49,76
Total,FR,3961,8951
Pct 099,FR,8,27
Pct 098,FR,9,17
