Row Label,County,Mavis Betz
VAN FLEET,SK,246
GEAR,SK,278
BIRDSVIEW,SK,310
BURLINGTON 7,SK,153
BOW,SK,402
ROCKPORT,SK,259
ROSARIO,SK,390
MOUNT VERNON 16,SK,380
EDISON,SK,174
MOUNT VERNON 14,SK,380
MOUNT VERNON 12,SK,135
RIDGEWAY,SK,208
MOUNT VERNON 10,SK,163
SAMISH,SK,201
MOUNT VERNON 19,SK,320
BAY VIEW,SK,250
BURLINGTON 2,SK,166
STARBIRD,SK,222
BURLINGTON 1,SK,142
BURLINGTON 6,SK,152
TERRACE,SK,460
BURLINGTON 4,SK,224
BURLINGTON 5,SK,278
MANSFORD,SK,43
MAPES,SK,109
FIR,SK,133
LYMAN,SK,58
GAGES,SK,67
NOOKACHAMPS,SK,168
SAUK,SK,316
VEDERE,SK,215
HAMILTON,SK,44
VIEW TERRACE,SK,4
POINT WILLIAMS,SK,229
SKYRIDGE,SK,252
CONCRETE,SK,115
ALDER,SK,166
CLEAR LAKE,SK,267
FRUITDALE,SK,135
SWINOMISH,SK,334
SEDRO WOOLLEY  6,SK,291
MINKLER,SK,189
ANACORTES 20,SK,455
TINGLEY,SK,141
ANACORTES 22,SK,399
ANACORTES 24,SK,589
BIG LAKE,SK,356
ANACORTES 5,SK,8
COLLINS,SK,154
AVON,SK,276
MARCH POINT,SK,18
MOUNT VERNON 30,SK,350
FIDALGO,SK,328
MOUNT VERNON  4,SK,417
MOUNT VERNON  5,SK,79
MOUNT VERNON  6,SK,251
MOUNT VERNON  7,SK,320
WHITNEY,SK,123
MOUNT VERNON  2,SK,142
MOUNT VERNON  3,SK,275
LAKE SIXTEEN,SK,133
MOUNT VERNON  8,SK,520
MOUNT VERNON  9,SK,154
DEWEY,SK,483
BELFAST,SK,148
MOUNT VERNON 15,SK,194
MCMURRAY EAST,SK,60
LAKE CAVANAUGH,SK,78
SHELTER BAY,SK,338
MOUNT VERNON 27,SK,94
MOUNT VERNON 22,SK,485
MOUNT VERNON 21,SK,482
LOOKOUT,SK,323
MOUNT VERNON 11,SK,268
ANACORTES  9,SK,306
COUNTRY CLUB,SK,114
ANACORTES 21,SK,563
MOUNT VERNON  1,SK,115
SEDRO WOOLLEY  2,SK,315
SEDRO WOOLLEY  3,SK,231
SEDRO WOOLLEY  1,SK,289
MCMURRAY WEST,SK,151
SEDRO WOOLLEY  7,SK,7
SEDRO WOOLLEY  4,SK,302
SEDRO WOOLLEY  5,SK,398
MCRAE,SK,420
ANACORTES  6,SK,242
ANACORTES  7,SK,572
ANACORTES  4,SK,214
ANACORTES  1,SK,270
SNEE OOSH,SK,240
MONTBORNE,SK,390
STERLING,SK,81
FREDONIA,SK,61
CASCADE,SK,58
DIGBY,SK,23
HARMONY,SK,173
PADILLA,SK,62
DUNBAR,SK,60
LA CONNER,SK,303
CEDARDALE,SK,93
BURLINGTON 3,SK,81
PRAIRIE,SK,280
RIVERBEND,SK,16
HAMBURG,SK,133
ANACORTES 11,SK,401
ALLEN,SK,106
ANACORTES 17,SK,526
CONWAY,SK,124
LITTLE MOUNTAIN,SK,130
GUEMES,SK,267
ALGER,SK,182
BLANCHARD,SK,292
DODGE VALLEY,SK,143
Total,SK,26203
