Row Label,County,Katie Jungquist,Bradley Whaley
VAN FLEET,SK,270,83
GEAR,SK,359,93
BIRDSVIEW,SK,301,125
BURLINGTON 7,SK,172,69
BOW,SK,391,157
ROCKPORT,SK,194,155
ROSARIO,SK,431,188
MOUNT VERNON 16,SK,404,155
EDISON,SK,191,75
MOUNT VERNON 14,SK,338,175
MOUNT VERNON 12,SK,128,59
RIDGEWAY,SK,224,71
MOUNT VERNON 10,SK,139,74
SAMISH,SK,219,74
MOUNT VERNON 19,SK,358,117
BAY VIEW,SK,272,98
BURLINGTON 2,SK,165,65
STARBIRD,SK,307,62
BURLINGTON 1,SK,108,75
BURLINGTON 6,SK,155,60
TERRACE,SK,543,132
BURLINGTON 4,SK,215,93
BURLINGTON 5,SK,289,122
MANSFORD,SK,39,24
MAPES,SK,116,36
FIR,SK,121,56
LYMAN,SK,79,29
GAGES,SK,77,25
NOOKACHAMPS,SK,175,65
SAUK,SK,280,132
VEDERE,SK,206,83
HAMILTON,SK,39,13
BLANCHARD(*),SK,0,0
POINT WILLIAMS,SK,227,114
SKYRIDGE,SK,313,80
CONCRETE,SK,114,56
ALDER,SK,159,78
CLEAR LAKE,SK,300,112
FRUITDALE,SK,136,50
SWINOMISH,SK,257,185
SEDRO WOOLLEY  6,SK,267,118
MINKLER,SK,193,94
ANACORTES 20,SK,491,217
TINGLEY,SK,164,66
ANACORTES 22,SK,424,175
ANACORTES 24,SK,684,295
BIG LAKE,SK,428,115
ANACORTES 5,SK,11,2
COLLINS,SK,196,51
AVON,SK,296,91
MARCH POINT,SK,20,7
MOUNT VERNON 30,SK,368,121
FIDALGO,SK,391,149
MOUNT VERNON  4,SK,402,165
MOUNT VERNON  5,SK,83,29
MOUNT VERNON  6,SK,184,133
MOUNT VERNON  7,SK,282,142
WHITNEY,SK,112,56
MOUNT VERNON  2,SK,110,71
MOUNT VERNON  3,SK,224,141
LAKE SIXTEEN,SK,159,41
MOUNT VERNON  8,SK,502,195
MOUNT VERNON  9,SK,154,64
DEWEY,SK,526,214
BELFAST,SK,191,41
MOUNT VERNON 15,SK,179,86
MCMURRAY EAST,SK,66,30
LAKE CAVANAUGH,SK,101,32
SHELTER BAY,SK,355,147
MOUNT VERNON 27,SK,101,28
MOUNT VERNON 22,SK,559,187
MOUNT VERNON 21,SK,468,194
LOOKOUT,SK,335,168
MOUNT VERNON 11,SK,283,94
ANACORTES  9,SK,317,124
COUNTRY CLUB,SK,151,35
ANACORTES 21,SK,632,264
MOUNT VERNON  1,SK,104,58
SEDRO WOOLLEY  2,SK,322,110
SEDRO WOOLLEY  3,SK,194,98
SEDRO WOOLLEY  1,SK,286,113
MCMURRAY WEST,SK,144,64
SEDRO WOOLLEY  7,SK,5,3
SEDRO WOOLLEY  4,SK,285,120
SEDRO WOOLLEY  5,SK,395,155
ANACORTES  1,SK,207,169
MCRAE,SK,443,165
ANACORTES  6,SK,276,133
ANACORTES  7,SK,522,309
ANACORTES  4,SK,151,126
VIEW TERRACE(*),SK,0,0
SNEE OOSH,SK,226,123
MONTBORNE,SK,406,127
STERLING,SK,94,28
FREDONIA,SK,58,25
CASCADE,SK,49,38
DIGBY,SK,35,2
HARMONY,SK,213,63
PADILLA,SK,88,20
DUNBAR,SK,59,29
LA CONNER,SK,233,167
CEDARDALE,SK,117,34
BURLINGTON 3,SK,50,45
PRAIRIE,SK,336,98
RIVERBEND,SK,14,5
HAMBURG,SK,134,48
ANACORTES 11,SK,355,216
ALLEN,SK,171,30
ANACORTES 17,SK,435,283
CONWAY,SK,112,67
LITTLE MOUNTAIN,SK,154,52
GUEMES,SK,208,174
ALGER,SK,202,72
DODGE VALLEY,SK,131,54
Total,SK,26713,11293
