Row Label,County,FOR the formation of a metropolitan park district to be governed by the city governing body and coun,AGAINST the formation of a metropolitan park district.
HOT SPRINGS NORTH,SM,28,68
SOUTH STEVENSON,SM,29,29
HOT SPRINGS SOUTH,SM,60,93
STABLER,SM,101,182
WIND MOUNTAIN,SM,39,85
NORTH STEVENSON,SM,96,86
NELSON CREEK,SM,54,49
CASCADES(*),SM,0,0
WIND RIVER,SM,68,130
MAPLE VIEW,SM,125,140
Total,SM,740,1103
ROCK CREEK,SM,58,81
CARSON CREEK,SM,78,147
LEWIS RIVER(*),SM,0,0
