Row Label,County,Nancy L. Vejvoda,Joan P. White
Friday Harbor North,SJ,201,254
San Juan South East,SJ,91,252
Lopez North,SJ,140,494
Total,SJ,2182,4758
Decatur and Outer Is,SJ,9,19
Shaw,SJ,25,56
San Juan West,SJ,167,336
Turn Point,SJ,85,143
San Juan South West,SJ,197,326
Orcas East,SJ,111,337
Eastsound,SJ,146,393
Blakely &amp; Outer Is,SJ,3,16
Friday Harbor South,SJ,140,195
Waldron &amp; Outer Is,SJ,9,46
Orcas Central,SJ,123,356
San Juan North,SJ,140,267
Lopez South,SJ,94,378
Orcas West,SJ,129,358
San Juan East,SJ,138,256
San Juan Central,SJ,234,276
