Row Label,County,Rob Nou,Ron Krebs
Friday Harbor North,SJ,104,374
San Juan South East,SJ,140,227
Lopez North,SJ,648,150
Total,SJ,2836,5019
Decatur and Outer Is,SJ,32,7
Shaw,SJ,44,47
San Juan West,SJ,121,402
Turn Point,SJ,58,192
San Juan South West,SJ,129,408
Orcas East,SJ,141,379
Eastsound,SJ,171,469
Blakely &amp; Outer Is,SJ,8,15
Friday Harbor South,SJ,96,263
Waldron &amp; Outer Is,SJ,13,46
Orcas Central,SJ,183,402
San Juan North,SJ,88,355
Lopez South,SJ,476,106
Orcas West,SJ,188,402
San Juan East,SJ,96,315
San Juan Central,SJ,100,460
