Row Label,County,Registered Voters,Steve Rosen,Times Blank Voted,Times Counted,Times Over Voted,Write-in
SEA 37-1629,KI,527,111,108,221,0,2
SEA 46-2344,KI,760,190,138,329,0,1
SEA 46-2311,KI,451,137,118,256,0,1
SEA 34-3648,KI,470,125,114,240,0,1
SEA 46-1968,KI,297,82,94,177,0,1
SEA 36-1391,KI,439,118,142,262,0,2
SEA 36-1390,KI,290,88,103,191,0,0
SEA 36-1393,KI,297,104,105,209,0,0
SEA 36-1392,KI,411,127,127,255,0,1
SEA 36-1395,KI,444,131,144,276,0,1
SEA 36-1394,KI,559,147,186,336,0,3
SEA 36-1397,KI,357,99,133,233,0,1
SEA 36-1396,KI,282,78,84,166,0,4
SEA 36-1399,KI,296,107,98,205,0,0
SEA 36-1816,KI,303,96,76,172,0,0
SEA 46-3687,KI,220,77,66,143,0,0
SEA 43-2017,KI,430,117,148,267,0,2
SEA 37-3416,KI,502,72,54,134,0,8
SEA 36-1403,KI,497,94,138,234,0,2
SEA 36-1402,KI,381,99,103,206,0,4
SEA 43-2013,KI,310,84,131,216,0,1
SEA 43-2011,KI,278,87,101,189,0,1
SEA 46-2353,KI,488,123,73,199,0,3
SEA 46-2096,KI,230,69,93,162,0,0
SEA 43-2018,KI,559,162,201,363,0,0
SEA 34-3637,KI,567,180,128,309,0,1
SEA 46-2097,KI,400,107,150,257,0,0
SEA 34-3632,KI,271,56,43,99,0,0
SEA 46-2276,KI,382,106,140,250,0,4
SEA 43-1351,KI,561,145,169,315,0,1
SEA 37-1936,KI,296,114,108,222,0,0
SEA 43-1353,KI,449,123,134,260,0,3
SEA 43-1352,KI,608,151,170,322,0,1
SEA 43-1355,KI,401,128,115,244,0,1
SEA 43-1354,KI,435,122,117,240,0,1
SEA 43-1357,KI,355,102,87,192,0,3
SEA 43-2049,KI,453,80,126,208,0,2
SEA 43-1359,KI,518,152,137,291,0,2
SEA 43-1358,KI,418,101,120,224,0,3
SEA 37-1934,KI,784,230,237,472,0,5
SEA 37-1935,KI,291,81,123,204,0,0
SEA 37-3647,KI,447,82,62,146,0,2
SEA 43-2059,KI,424,119,133,252,0,0
SEA 37-3159,KI,845,214,167,383,0,2
SEA 46-2271,KI,476,146,169,319,0,4
SEA 46-2347,KI,519,132,148,281,0,1
SEA 46-1952,KI,281,79,100,179,0,0
SEA 46-1953,KI,236,91,84,175,0,0
SEA 46-1954,KI,282,100,102,203,0,1
SEA 37-1638,KI,505,76,85,162,0,1
SEA 36-1308,KI,298,79,113,193,0,1
SEA 36-1309,KI,556,147,179,328,0,2
SEA 36-1306,KI,381,118,122,240,0,0
SEA 36-1307,KI,276,82,92,174,0,0
SEA 36-1304,KI,333,107,123,234,0,4
SEA 36-1305,KI,301,95,111,206,0,0
SEA 37-1631,KI,301,87,100,187,0,0
SEA 36-1303,KI,411,116,151,269,0,2
SEA 36-1300,KI,383,110,104,214,0,0
SEA 36-1301,KI,319,86,132,218,0,0
SEA 36-1715,KI,355,78,90,172,0,4
SEA 36-1714,KI,526,157,162,321,0,2
SEA 36-1717,KI,251,63,70,134,0,1
SEA 36-1716,KI,357,70,107,177,0,0
SEA 36-1711,KI,760,181,195,379,0,3
SEA 36-1710,KI,351,70,85,157,0,2
SEA 36-1713,KI,362,82,94,176,0,0
SEA 36-1712,KI,463,133,134,269,0,2
SEA 36-2147,KI,489,151,185,338,0,2
SEA 36-1719,KI,510,143,154,299,0,2
SEA 36-1718,KI,318,63,92,155,0,0
SEA 37-1834,KI,386,93,92,188,0,3
SEA 46-1404,KI,441,111,105,217,0,1
SEA 46-2371,KI,656,191,177,371,0,3
SEA 34-3263,KI,415,95,98,194,0,1
SEA 34-3265,KI,353,86,81,168,0,1
SEA 34-3264,KI,340,107,73,180,0,0
SEA 34-3266,KI,311,65,51,117,0,1
SEA 46-2285,KI,286,116,95,211,0,0
SEA 11-1928,KI,298,59,84,145,0,2
SEA 43-2850,KI,359,84,97,182,0,1
SEA 37-1938,KI,394,94,152,247,0,1
SEA 46-2283,KI,348,101,111,214,0,2
SEA 36-1398,KI,503,133,130,265,0,2
SEA 46-2326,KI,574,123,147,271,0,1
SEA 46-2327,KI,381,99,88,190,0,3
SEA 46-2324,KI,432,114,121,237,0,2
SEA 43-2047,KI,662,181,219,403,0,3
SEA 46-2289,KI,338,73,129,203,0,1
SEA 46-2323,KI,554,139,168,310,0,3
SEA 46-2320,KI,350,104,117,222,0,1
SEA 46-2321,KI,333,103,120,225,0,2
SEA 37-3694,KI,92,17,27,44,0,0
SEA 43-1368,KI,292,73,110,184,0,1
SEA 34-1461,KI,399,129,137,268,0,2
SEA 36-1273,KI,279,73,128,201,0,0
SEA 34-1508,KI,295,89,93,182,0,0
SEA 34-1509,KI,281,81,95,177,0,1
SEA 34-1465,KI,372,144,107,251,0,0
SEA 34-1464,KI,359,108,136,245,0,1
SEA 34-1467,KI,551,158,180,339,0,1
SEA 34-1466,KI,303,99,79,179,0,1
SEA 34-1502,KI,342,98,123,223,0,2
SEA 34-1468,KI,448,132,124,256,0,0
SEA 34-1500,KI,584,151,176,328,0,1
SEA 34-1501,KI,369,126,120,248,0,2
SEA 34-1506,KI,299,100,82,183,0,1
SEA 34-1507,KI,357,98,131,230,0,1
SEA 34-1504,KI,418,135,132,267,0,0
SEA 46-2291,KI,387,112,90,204,0,2
SEA 43-1821,KI,233,84,60,144,0,0
SEA 43-1869,KI,465,131,135,270,0,4
SEA 46-2296,KI,391,115,118,237,0,4
SEA 46-2277,KI,568,161,205,368,0,2
SEA 43-1369,KI,285,59,105,165,0,1
SEA 43-2015,KI,333,87,107,195,0,1
SEA 37-1950,KI,187,44,22,67,0,1
SEA 34-1489,KI,744,171,165,338,0,2
SEA 34-1488,KI,692,157,126,284,0,1
SEA 34-1482,KI,321,93,86,180,0,1
SEA 34-1481,KI,479,118,105,227,0,4
SEA 34-1480,KI,594,177,162,339,0,0
SEA 34-1487,KI,335,111,93,205,0,1
SEA 34-1486,KI,364,98,102,201,0,1
SEA 34-1485,KI,708,182,123,307,0,2
SEA 34-1484,KI,345,100,79,180,0,1
SEA 36-3153,KI,390,104,83,187,0,0
SEA 46-2358,KI,846,262,230,494,0,2
SEA 37-1918,KI,347,89,123,212,0,0
SEA 37-1919,KI,378,93,113,207,0,1
SEA 37-2686,KI,604,169,116,291,0,6
SEA 36-3252,KI,477,104,105,211,0,2
SEA 37-1915,KI,384,120,138,260,0,2
SEA 37-1916,KI,357,111,149,261,0,1
SEA 37-1917,KI,454,168,143,311,0,0
SEA 37-1910,KI,513,154,174,329,0,1
SEA 37-1911,KI,284,103,88,191,0,0
SEA 46-2355,KI,354,103,120,224,0,1
SEA 37-1913,KI,338,129,109,239,0,1
SEA 37-1854,KI,386,106,81,190,0,3
SEA 43-1330,KI,404,131,103,238,0,4
SEA 43-1849,KI,323,67,92,161,0,2
SEA 37-1850,KI,650,162,180,346,0,4
SEA 37-1853,KI,281,65,55,120,0,0
SEA 43-1845,KI,575,145,132,277,0,0
SEA 43-1847,KI,484,106,120,227,0,1
SEA 43-1846,KI,345,74,82,158,0,2
SEA 43-1843,KI,551,113,138,251,0,0
SEA 43-1842,KI,521,142,138,282,0,2
SEA 43-2104,KI,379,125,133,260,0,2
SEA 43-2029,KI,706,244,242,488,0,2
SEA 46-2309,KI,300,95,89,184,0,0
SEA 46-2142,KI,674,199,155,357,0,3
SEA 43-1262,KI,468,140,165,308,0,3
SEA 36-2795,KI,479,103,105,209,0,1
SEA 43-1265,KI,256,59,88,148,0,1
SEA 37-1637,KI,760,186,108,295,0,1
SEA 43-1264,KI,361,116,131,248,0,1
SEA 37-1651,KI,736,163,92,256,0,1
SEA 43-2025,KI,556,166,190,360,0,4
SEA 37-1930,KI,738,185,205,391,0,1
SEA 43-1266,KI,351,92,121,213,0,0
SEA 46-2145,KI,497,142,152,297,0,3
SEA 36-1751,KI,368,99,112,212,0,1
SEA 36-1750,KI,493,125,171,296,0,0
SEA 36-1752,KI,437,105,137,244,0,2
SEA 36-1755,KI,272,75,82,158,0,1
SEA 36-1754,KI,387,114,137,252,0,1
SEA 36-1757,KI,262,62,104,166,0,0
SEA 36-1756,KI,682,196,197,393,0,0
SEA 36-1759,KI,274,60,108,169,0,1
SEA 36-1758,KI,351,124,122,246,0,0
SEA 43-2043,KI,292,88,103,193,0,2
SEA 43-2044,KI,350,83,102,186,0,1
SEA 43-2045,KI,315,90,97,189,0,2
SEA 11-1256,KI,627,141,98,242,0,3
SEA 34-1533,KI,229,72,86,159,0,1
SEA 34-1532,KI,237,72,65,138,0,1
SEA 43-1263,KI,350,106,123,230,0,1
SEA 34-1530,KI,619,167,197,367,0,3
SEA 34-1537,KI,289,89,67,156,0,0
SEA 34-1536,KI,304,98,92,191,0,1
SEA 34-1535,KI,239,70,76,146,0,0
SEA 34-1534,KI,362,111,127,238,0,0
SEA 43-1269,KI,357,109,125,234,0,0
SEA 43-1268,KI,352,115,139,254,0,0
SEA 34-1539,KI,356,98,96,198,0,4
SEA 34-1538,KI,378,97,103,202,0,2
SEA 43-2048,KI,376,96,117,214,0,1
SEA 46-2343,KI,341,101,93,194,0,0
SEA 46-2298,KI,321,103,101,205,0,1
SEA 36-2505,KI,324,114,114,228,0,0
SEA 36-2504,KI,303,96,116,213,0,1
SEA 36-2507,KI,283,76,96,180,0,8
SEA 36-2506,KI,311,88,114,202,0,0
SEA 36-2503,KI,305,97,99,196,0,0
SEA 36-2502,KI,378,142,142,284,0,0
SEA 36-2134,KI,490,138,127,266,0,1
SEA 46-3677,KI,320,82,94,181,0,5
SEA 36-2130,KI,388,124,117,243,0,2
SEA 36-2131,KI,851,212,239,453,0,2
SEA 36-2133,KI,698,167,176,348,0,5
SEA 34-1546,KI,385,109,148,257,0,0
SEA 43-1787,KI,564,137,138,277,0,2
SEA 11-1602,KI,598,134,145,288,0,9
SEA 34-1545,KI,422,119,104,224,0,1
SEA 34-1543,KI,327,107,111,218,0,0
SEA 34-1540,KI,333,81,95,176,0,0
SEA 34-1541,KI,380,91,143,235,0,1
SEA 46-1312,KI,326,78,102,181,0,1
SEA 46-1313,KI,280,76,91,168,0,1
SEA 46-1310,KI,397,113,112,229,0,4
SEA 46-1311,KI,427,103,93,198,0,2
SEA 43-1788,KI,807,332,248,580,0,0
SEA 37-3666,KI,422,84,41,128,0,3
SEA 36-1808,KI,275,101,55,156,0,0
SEA 36-1805,KI,473,103,134,239,0,2
SEA 36-1806,KI,598,148,132,281,0,1
SEA 36-1801,KI,896,185,206,391,0,0
SEA 36-1803,KI,298,74,104,178,0,0
SEA 36-3586,KI,801,215,190,407,0,2
SEA 36-3587,KI,590,131,140,273,0,2
SEA 37-1563,KI,323,66,43,111,0,2
SEA 37-1565,KI,331,86,85,172,0,1
SEA 37-1564,KI,396,123,103,227,0,1
SEA 36-3669,KI,349,72,82,157,0,3
SEA 37-1566,KI,327,86,88,176,0,2
SEA 37-1568,KI,434,96,83,179,0,0
SEA 43-2083,KI,422,92,123,215,0,0
SEA 46-2252,KI,261,81,91,172,0,0
SEA 46-2253,KI,521,134,185,322,0,3
SEA 46-2251,KI,555,154,198,352,0,0
SEA 32-2206,KI,412,129,136,266,0,1
SEA 46-2316,KI,411,114,125,239,0,0
SEA 32-2204,KI,339,112,115,230,0,3
SEA 46-2314,KI,337,114,102,217,0,1
SEA 32-2202,KI,436,121,127,250,0,2
SEA 32-2203,KI,758,198,219,422,0,5
SEA 32-2200,KI,385,131,131,263,0,1
SEA 32-2201,KI,463,155,158,315,0,2
SEA 46-2619,KI,539,143,135,279,0,1
SEA 43-2545,KI,699,163,212,375,0,0
SEA 32-2208,KI,350,96,128,224,0,0
SEA 32-2209,KI,599,185,215,402,0,2
SEA 36-2592,KI,352,89,114,205,0,2
SEA 36-2593,KI,289,83,91,174,0,0
SEA 34-1438,KI,328,105,104,209,0,0
SEA 34-1439,KI,369,100,116,220,1,3
