Row Label,County,Registered Voters,Times Blank Voted,Times Counted,Times Over Voted,Willie Gregory,Write-in
SEA 37-1629,KI,527,104,221,0,115,2
SEA 46-2344,KI,760,137,329,0,192,0
SEA 46-2311,KI,451,114,256,0,141,1
SEA 34-3648,KI,470,115,240,0,124,1
SEA 46-1968,KI,297,89,177,0,88,0
SEA 36-1391,KI,439,144,262,0,116,2
SEA 36-1390,KI,290,104,191,0,87,0
SEA 36-1393,KI,297,107,209,0,102,0
SEA 36-1392,KI,411,125,255,0,130,0
SEA 36-1395,KI,444,143,276,0,132,1
SEA 36-1394,KI,559,187,336,0,147,2
SEA 36-1397,KI,357,133,233,0,100,0
SEA 36-1396,KI,282,85,166,0,78,3
SEA 36-1399,KI,296,95,205,0,110,0
SEA 36-1816,KI,303,76,172,0,96,0
SEA 46-3687,KI,220,73,143,0,70,0
SEA 43-2017,KI,430,146,267,0,119,2
SEA 37-3416,KI,502,56,134,0,72,6
SEA 36-1403,KI,497,134,234,0,98,2
SEA 36-1402,KI,381,105,206,0,101,0
SEA 43-2013,KI,310,133,216,0,82,1
SEA 43-2011,KI,278,99,189,0,89,1
SEA 46-2353,KI,488,71,199,0,126,2
SEA 46-2096,KI,230,83,162,0,79,0
SEA 43-2018,KI,559,203,363,0,160,0
SEA 34-3637,KI,567,129,309,0,179,1
SEA 46-2097,KI,400,150,257,0,107,0
SEA 34-3632,KI,271,40,99,0,59,0
SEA 46-2276,KI,382,140,250,0,109,1
SEA 43-1351,KI,561,163,315,0,151,1
SEA 37-1936,KI,296,113,222,0,108,1
SEA 43-1353,KI,449,134,260,0,125,1
SEA 43-1352,KI,608,166,322,0,155,1
SEA 43-1355,KI,401,115,244,0,129,0
SEA 43-1354,KI,435,122,240,0,117,1
SEA 43-1357,KI,355,85,192,0,107,0
SEA 43-2049,KI,453,126,208,0,80,2
SEA 43-1359,KI,518,135,291,0,154,2
SEA 43-1358,KI,418,124,224,0,98,2
SEA 37-1934,KI,784,235,472,0,234,3
SEA 37-1935,KI,291,115,204,0,89,0
SEA 37-3647,KI,447,60,146,0,83,3
SEA 43-2059,KI,424,131,252,0,121,0
SEA 37-3159,KI,845,159,383,0,222,2
SEA 46-2271,KI,476,172,319,0,144,3
SEA 46-2347,KI,519,147,281,0,132,2
SEA 46-1952,KI,281,101,179,0,78,0
SEA 46-1953,KI,236,82,175,0,93,0
SEA 46-1954,KI,282,106,203,0,96,1
SEA 37-1638,KI,505,84,162,0,77,1
SEA 36-1308,KI,298,112,193,0,80,1
SEA 36-1309,KI,556,183,328,0,143,2
SEA 36-1306,KI,381,127,240,0,113,0
SEA 36-1307,KI,276,90,174,0,84,0
SEA 36-1304,KI,333,122,234,0,108,4
SEA 36-1305,KI,301,107,206,0,99,0
SEA 37-1631,KI,301,95,187,0,91,1
SEA 36-1303,KI,411,148,269,0,119,2
SEA 36-1300,KI,383,103,214,0,111,0
SEA 36-1301,KI,319,131,218,0,87,0
SEA 36-1715,KI,355,90,172,0,79,3
SEA 36-1714,KI,526,165,321,0,154,2
SEA 36-1717,KI,251,69,134,0,64,1
SEA 36-1716,KI,357,106,177,0,71,0
SEA 36-1711,KI,760,194,379,0,181,4
SEA 36-1710,KI,351,82,157,0,73,2
SEA 36-1713,KI,362,92,176,0,83,1
SEA 36-1712,KI,463,132,269,0,136,1
SEA 36-2147,KI,489,186,338,0,150,2
SEA 36-1719,KI,510,151,299,0,146,2
SEA 36-1718,KI,318,94,155,0,61,0
SEA 37-1834,KI,386,90,188,0,95,3
SEA 46-1404,KI,441,103,217,0,113,1
SEA 46-2371,KI,656,180,371,0,189,2
SEA 34-3263,KI,415,96,194,0,96,2
SEA 34-3265,KI,353,79,168,0,88,1
SEA 34-3264,KI,340,75,180,0,105,0
SEA 34-3266,KI,311,51,117,0,65,1
SEA 46-2285,KI,286,99,211,0,112,0
SEA 11-1928,KI,298,86,145,0,57,2
SEA 43-2850,KI,359,95,182,0,86,1
SEA 37-1938,KI,394,142,247,0,105,0
SEA 46-2283,KI,348,114,214,0,98,2
SEA 36-1398,KI,503,130,265,0,133,2
SEA 46-2326,KI,574,147,271,0,124,0
SEA 46-2327,KI,381,86,190,0,103,1
SEA 46-2324,KI,432,121,237,0,114,2
SEA 43-2047,KI,662,220,403,0,181,2
SEA 46-2289,KI,338,128,203,0,74,1
SEA 46-2323,KI,554,170,310,0,139,1
SEA 46-2320,KI,350,120,222,0,100,2
SEA 46-2321,KI,333,120,225,0,104,1
SEA 37-3694,KI,92,26,44,0,18,0
